key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
#,InstanceContentType,WeekRestriction,TimeLimit{min},Name,,BGM,WinBGM,Cutscene,,Order,,,InstanceContentTextData{Boss}{Start},InstanceContentTextData{Boss}{End},BNpcBase{Boss},InstanceContentTextData{Objective}{Start},InstanceContentTextData{Objective}{End},SortKey,,,NewPlayerBonusA,NewPlayerBonusB,FinalBossExp,FinalBossCurrencyA,FinalBossCurrencyB,FinalBossCurrencyC,BossExp[0],BossExp[1],BossExp[2],BossExp[3],BossExp[4],BossCurrencyA[0],BossCurrencyA[1],BossCurrencyA[2],BossCurrencyA[3],BossCurrencyA[4],BossCurrencyB[0],BossCurrencyB[1],BossCurrencyB[2],BossCurrencyB[3],BossCurrencyB[4],BossCurrencyC[0],BossCurrencyC[1],BossCurrencyC[2],BossCurrencyC[3],BossCurrencyC[4],InstanceClearExp,,,,,InstanceContentBuff,ReqInstance,,PartyCondition,,,,
int32,InstanceContentType,byte,uint16,str,str,BGM,BGM,Cutscene,uint32,uint16,byte,bit&01,InstanceContentTextData,InstanceContentTextData,BNpcBase,InstanceContentTextData,InstanceContentTextData,uint16,uint32,uint32,uint16,uint16,uint32,uint16,uint16,uint16,uint32,uint32,uint32,uint32,uint32,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint32,uint32,uint32,byte,uint32,InstanceContentBuff,InstanceContent,int16,byte,byte,byte,byte,bit&02
0,"InstanceContentType#0",0,60,"","","","music/ffxiv/BGM_System_WinLoop.scd","",0,0,0,False,"","","BNpcBase#0","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False
1,"InstanceContentType#2",0,90,"les Mille Gueules de Toto-Rak","","","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunfst/dunfst1r110/dunfst1r110",2281258,1,0,False,"","","BNpcBase#444","Photocells","Activate the Fool's Rest terminal",5,3400,4600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85948,550,0,100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False
2,"InstanceContentType#2",0,90,"l'Hypogée de Tam-Tara","","","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunfst/dunfst1d110/dunfst1d110",1958540,2,0,False,"You seem surprised. Did you not cross our gates in search of blood?","Come hither, children of the dawn. The undying master will drink deep tonight!","BNpcBase#73","Cultist rosary","Come hither, children of the dawn. The undying master will drink deep tonight!",2,2600,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51864,400,78,100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False
3,"InstanceContentType#2",0,90,"les Mines de Clochecuivre","","","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunwil/dunwil1d110/dunwil1d110",2790145,3,0,False,"MASTERS MUST PAY! MASTERS MUST DIE!","NEVER AGAIN! NEVER!","BNpcBase#101","Six-onze pinches of firesand","NEVER AGAIN! NEVER!",3,2700,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64016,400,79,100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False
4,"InstanceContentType#2",0,90,"Sastasha","","","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunsea/dunsea1d110/dunsea1d110",3283219,4,0,False,"Pshhh! Finleshhh fools!","The Lord of the Whorl shhhall sssup upon your sssouls!","BNpcBase#1206","Activate the coral trigger","The Lord of the Whorl shhhall sssup upon your sssouls!",1,2500,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49790,400,6,100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False
5,"InstanceContentType#2",0,90,"le Val d'Aurum","","","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunroc/dunroc1r210/dunroc1r210",3619405,5,0,False,"","","BNpcBase#1532","Breach the Lock","Defeat the morbol bed keepers",12,5700,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212853,2400,4,100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False
6,"InstanceContentType#2",0,90,"le Manoir des Haukke","","","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunfst/dunfst1d210/dunfst1d210",3633039,6,0,False,"","","BNpcBase#422","Tiny Keys","Find the yellow key",6,3800,6300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100393,700,11,100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False
7,"InstanceContentType#2",0,90,"Halatali","","","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunwil/dunwil1d210/dunwil1d210",4097951,7,0,False,"","","BNpcBase#1197","Clear the Hall of the Cesti","Clear the Hall of the Secutores",4,3000,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73500,450,0,100,0,"InstanceContentBuff#0","",-1,0,0,0,0,False
