key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#,,,,Hierarchy,MapMarkerRange,Id,SizeFactor,Offset{X},Offset{Y},PlaceName{Region},PlaceName,PlaceName{Sub},DiscoveryIndex,,TerritoryType,DiscoveryArrayByte,
int32,byte,byte,sbyte,byte,uint16,str,uint16,int16,int16,PlaceName,PlaceName,PlaceName,int16,uint32,TerritoryType,bit&01,bit&02
0,0,0,0,0,0,"",100,0,0,"","","",-1,0,,True,False
1,0,0,0,1,0,"default/00",100,0,0,"???","Eorzea","",-1,0,"",True,False
2,2,2,0,1,3,"f1t1/00",200,0,0,"The Black Shroud","New Gridania","",-1,0,"New Gridania",True,False
3,2,3,0,1,4,"f1t2/00",200,0,0,"The Black Shroud","Old Gridania","",-1,0,"Old Gridania",True,False
4,2,5,0,1,5,"f1f1/00",100,0,0,"The Black Shroud","Central Shroud","",0,16382,"Central Shroud",True,False
5,2,6,0,1,6,"f1f2/00",100,0,0,"The Black Shroud","East Shroud","",0,1048574,"East Shroud",False,False
6,2,7,0,1,7,"f1f3/00",100,0,0,"The Black Shroud","South Shroud","",1,131070,"South Shroud",False,False
7,2,8,0,1,8,"f1f4/00",100,0,0,"The Black Shroud","North Shroud","",2,131070,"North Shroud",False,False
8,2,9,0,1,10,"f1d1/00",300,0,0,"The Black Shroud","The Tam-Tara Deepcroft","",1,4094,"The Tam-Tara Deepcroft",True,False
9,2,10,0,1,21,"f1r1/00",200,0,0,"The Black Shroud","The Thousand Maws of Toto-Rak","",2,16382,"The Thousand Maws of Toto-Rak",True,False
10,0,0,0,1,0,"default/00",100,0,0,"???","Mordion Gaol","",-1,0,"Mordion Gaol",True,True
11,1,2,0,1,71,"s1t1/01",200,0,0,"La Noscea","Limsa Lominsa Upper Decks","",-1,0,"Limsa Lominsa Upper Decks",True,False
12,1,3,0,1,72,"s1t2/00",200,0,0,"La Noscea","Limsa Lominsa Lower Decks","",-1,0,"Limsa Lominsa Lower Decks",True,False
13,3,2,0,1,59,"w1t1/01",200,0,0,"Thanalan","Ul'dah - Steps of Nald","",-1,0,"Ul'dah - Steps of Nald",True,False
14,3,3,1,1,60,"w1t2/01",200,0,0,"Thanalan","Ul'dah - Steps of Thal","Merchant Strip",-1,0,"Ul'dah - Steps of Thal",True,False
15,1,6,0,1,74,"s1f1/00",100,0,0,"La Noscea","Middle La Noscea","",3,254,"Middle La Noscea",True,False
16,1,7,0,1,75,"s1f2/00",100,0,0,"La Noscea","Lower La Noscea","",4,2046,"Lower La Noscea",True,False
17,1,8,0,1,76,"s1f3/00",100,0,0,"La Noscea","Eastern La Noscea","",5,32766,"Eastern La Noscea",True,False
18,1,9,0,1,77,"s1f4/00",100,0,0,"La Noscea","Western La Noscea","",3,1048574,"Western La Noscea",False,False
19,1,10,0,1,78,"s1f5/00",100,0,0,"La Noscea","Upper La Noscea","",6,510,"Upper La Noscea",True,False
20,3,6,0,1,40,"w1f1/00",100,0,0,"Thanalan","Western Thanalan","",7,8190,"Western Thanalan",True,False
21,3,7,0,1,39,"w1f2/00",100,0,0,"Thanalan","Central Thanalan","",8,16382,"Central Thanalan",True,False
22,3,8,0,1,41,"w1f3/00",100,0,0,"Thanalan","Eastern Thanalan","",4,262142,"Eastern Thanalan",False,False
23,3,9,0,1,42,"w1f4/01",100,0,0,"Thanalan","Southern Thanalan","",5,1048574,"Southern Thanalan",False,False
24,3,10,0,1,43,"w1f5/00",100,0,0,"Thanalan","Northern Thanalan","",9,510,"Northern Thanalan",True,False
25,5,2,0,1,108,"l1f1/01",100,0,0,"Mor Dhona","Mor Dhona","",6,131070,"Mor Dhona",False,False
26,0,0,0,1,68,"s1ti/00",800,0,0,"La Noscea","Mizzenmast Inn","",-1,0,"Mizzenmast Inn",True,False
27,0,0,0,1,70,"w1ti/00",800,0,0,"Thanalan","The Hourglass","",-1,0,"The Hourglass",True,False
28,0,0,0,1,69,"f1ti/00",800,0,0,"The Black Shroud","The Roost","",-1,0,"The Roost",True,False
29,0,0,0,1,0,"default/00",200,0,0,"","","",-1,0,"",True,False
30,1,11,0,1,79,"s1f6/00",100,0,0,"La Noscea","Outer La Noscea","",10,510,"Outer La Noscea",True,False
31,1,12,0,1,80,"s1d1/00",200,0,0,"La Noscea","Sastasha","",11,4094,"Sastasha",True,False
32,1,14,0,1,82,"s1d3/00",200,0,0,"La Noscea","The Wanderer's Palace","",12,1022,"The Wanderer's Palace",True,False
33,0,0,0,1,0,"s1fa/00",400,0,0,"La Noscea","The Navel","",-1,0,"The Navel",True,False
34,3,11,1,1,44,"w1d1/01",200,0,0,"Thanalan","Copperbell Mines","Ground Level",13,6,"Copperbell Mines",True,False
35,0,0,0,1,0,"w1fa/00",400,0,0,"Thanalan","Bowl of Embers","",-1,0,"Bowl of Embers",True,False
36,0,0,0,1,0,"f1fa/00",400,0,0,"The Black Shroud","Thornmarch","",-1,0,"Thornmarch",True,False
37,4,6,0,1,103,"r1d1/00",200,0,0,"Coerthas","Stone Vigil","",14,1022,"Stone Vigil",True,False
38,4,8,0,1,106,"r1r2/00",200,0,0,"Coerthas","Aurum Vale","",15,2046,"Aurum Vale",True,False
39,0,0,1,1,0,"r1fa/01",400,0,0,"Coerthas","The Howling Eye","",-1,0,"The Howling Eye",True,False
40,3,11,2,1,45,"w1d1/02",200,0,0,"Thanalan","Copperbell Mines","First Drop",13,16632,"Copperbell Mines",True,False
41,3,11,3,1,46,"w1d1/03",200,0,0,"Thanalan","Copperbell Mines","B2",13,16128,"Copperbell Mines",True,False
42,3,13,1,1,48,"w1d3/01",200,0,0,"Thanalan","The Sunken Temple of Qarn","Sanctum Entrance",7,2,"The Sunken Temple of Qarn",False,False
43,3,13,2,1,49,"w1d3/02",200,0,0,"Thanalan","The Sunken Temple of Qarn","Inner Sanctum",7,131068,"The Sunken Temple of Qarn",False,False
44,3,13,3,1,50,"w1d3/03",200,0,0,"Thanalan","The Sunken Temple of Qarn","Lower Sanctum",7,917504,"The Sunken Temple of Qarn",False,False
45,1,13,0,1,81,"s1d2/00",200,0,0,"La Noscea","Brayflox's Longstop","",16,65534,"Brayflox's Longstop",True,False
46,3,12,0,1,47,"w1d2/00",200,0,0,"Thanalan","Halatali","",17,1022,"Halatali",True,False
47,0,0,0,1,51,"w1d4/00",200,0,0,"Thanalan","Castrum Meridianum","",18,65534,"Castrum Meridianum",True,False
48,2,11,2,1,12,"f1d2/01",200,0,0,"The Black Shroud","Haukke Manor","Ground Floor",8,510,"Haukke Manor",False,False
49,2,12,1,1,14,"f1d3/01",200,0,0,"The Black Shroud","Amdapor Keep","Ground Floor",19,14,"Amdapor Keep",True,False
50,4,7,1,1,104,"r1r1/01",200,0,0,"Coerthas","Dzemael Darkhold","Outer Hold",25,62,"Dzemael Darkhold",True,False
51,1,5,0,1,83,"s1p1/00",400,-77,0,"La Noscea","Wolves' Den Pier","",-1,0,"Wolves' Den Pier",True,False
52,3,14,1,1,63,"w1r1/01",200,0,0,"Thanalan","Cutter's Cry","The Dry Sands",20,158,"Cutter's Cry",True,False
53,4,4,0,1,102,"r1f1/00",100,0,0,"Coerthas","Coerthas Central Highlands","",9,8388606,"Coerthas Central Highlands",False,False
54,2,11,1,1,11,"f1d2/02",200,0,0,"The Black Shroud","Haukke Manor","Second Floor",8,1966080,"Haukke Manor",False,False
55,2,11,3,1,13,"f1d2/03",200,0,0,"The Black Shroud","Haukke Manor","Cellarage",8,130560,"Haukke Manor",False,False
56,0,0,1,1,52,"w1d5/01",200,0,0,"Thanalan","The Praetorium","Sky Level",26,2,"The Praetorium",True,False
57,0,0,0,1,87,"s1b1/00",200,0,0,"La Noscea","Upper Aetheroacoustic Exploratory Site","",21,254,"Upper Aetheroacoustic Exploratory Site",True,False
58,0,0,0,1,88,"s1b2/00",200,0,0,"La Noscea","Lower Aetheroacoustic Exploratory Site","",22,6,"Lower Aetheroacoustic Exploratory Site",True,False
59,0,0,0,1,92,"s1b4/00",200,0,0,"La Noscea","Ragnarok Drive Cylinder","",-1,0,"Ragnarok Drive Cylinder",True,False
60,0,0,0,1,93,"s1b5/00",200,0,0,"La Noscea","Ragnarok Central Core","",23,14,"Ragnarok Central Core",True,False
61,0,0,0,1,94,"default/00",100,0,0,"La Noscea","Ragnarok Main Bridge","",-1,0,"Ragnarok Main Bridge",True,False
62,0,0,1,1,89,"s1b3/01",200,0,0,"La Noscea","The Ragnarok","Engine Room",24,2,"The Ragnarok",True,False
63,0,0,2,1,90,"s1b3/02",200,0,0,"La Noscea","The Ragnarok","Compression Chamber",24,4,"The Ragnarok",True,False
64,0,0,3,1,91,"s1b3/03",200,0,0,"La Noscea","The Ragnarok","Propellant Chamber",24,8,"The Ragnarok",True,False
65,0,0,3,1,25,"f1b3/01",200,0,0,"The Black Shroud","Central Decks","Lower Decks",36,2,"Central Decks",True,False
66,0,0,2,1,26,"f1b3/02",200,0,0,"The Black Shroud","Central Decks","Main Decks",36,52,"Central Decks",True,False
67,0,0,1,1,27,"f1b3/03",200,0,0,"The Black Shroud","Central Decks","Upper Decks",36,8,"Central Decks",True,False
68,0,0,0,1,29,"f1e4/00",800,0,0,"The Black Shroud","Seat of the First Bow","",-1,0,"Seat of the First Bow",True,True
69,0,0,0,1,30,"f1e5/00",400,0,0,"The Black Shroud","Lotus Stand","",-1,0,"Lotus Stand",True,True
70,3,2,0,1,61,"w1t1/02",200,0,0,"Thanalan","Ul'dah - Steps of Nald","Airship Landing",-1,0,"Ul'dah - Steps of Nald",True,False
71,5,4,1,1,110,"l1r1/01",200,0,0,"Mor Dhona","Labyrinth of the Ancients","Lower Labyrinth",30,16382,"Labyrinth of the Ancients",True,False
72,1,4,1,1,86,"s1h1/01",200,0,0,"La Noscea","Mist","Mist",-1,0,"Mist",True,False
73,3,3,2,1,62,"w1t2/02",200,0,0,"Thanalan","Ul'dah - Steps of Thal","Hustings Strip",-1,0,"Ul'dah - Steps of Thal",True,False
74,1,2,0,1,73,"s1t1/02",200,0,0,"La Noscea","Limsa Lominsa Upper Decks","Airship Landing",-1,0,"Limsa Lominsa Upper Decks",True,False
75,0,0,0,1,31,"s1e4/00",800,0,0,"La Noscea","Command Room","",-1,0,"Command Room",True,True
76,0,0,0,0,0,"",100,0,0,"","","",-1,0,,True,False
77,0,0,0,0,0,"",100,0,0,"","","",-1,0,,True,False
78,0,0,0,1,34,"w1e4/00",400,0,0,"Thanalan","Heart of the Sworn","",-1,0,"Heart of the Sworn",True,True
79,0,0,0,0,0,"",100,0,0,"","","",-1,0,,True,False
80,0,0,0,1,36,"w1e6/00",400,0,0,"Thanalan","The Waking Sands","",-1,0,"The Waking Sands",True,True
81,0,0,0,1,84,"s1p2/00",400,0,0,"La Noscea","The Fold","",-1,0,"",True,False
82,2,4,1,1,66,"f1h1/01",200,0,0,"The Black Shroud","The Lavender Beds","The Lavender Beds",-1,0,"The Lavender Beds",True,False
83,3,4,1,1,67,"w1h1/01",200,0,0,"Thanalan","The Goblet","The Goblet",-1,0,"The Goblet",True,False
84,2,12,2,1,15,"f1d3/02",200,0,0,"The Black Shroud","Amdapor Keep","Second Floor",19,240,"Amdapor Keep",True,False
85,2,12,3,1,16,"f1d3/03",200,0,0,"The Black Shroud","Amdapor Keep","Third Floor",19,3840,"Amdapor Keep",True,False
86,4,7,2,1,105,"r1r1/02",200,0,0,"Coerthas","Dzemael Darkhold","Inner Hold",25,8128,"Dzemael Darkhold",True,False
87,1,1,0,3,131,"region/00",100,0,0,"La Noscea","La Noscea","",-1,0,,True,False
88,3,1,0,3,132,"region/02",100,0,0,"Thanalan","Thanalan","",-1,0,,True,False
89,2,1,0,3,133,"region/01",100,0,0,"The Black Shroud","The Black Shroud","",-1,0,,True,False
90,4,1,0,3,134,"region/03",100,0,0,"Coerthas","Coerthas","",-1,0,,True,False
91,5,1,0,3,135,"region/04",100,0,0,"Mor Dhona","Mor Dhona","",-1,0,,True,False
92,10,1,0,2,136,"world/00",100,0,0,"Eorzea","Eorzea","",-1,0,,True,False
93,0,0,0,1,291,"w1f4/02",100,0,0,"Thanalan","Southern Thanalan","Zanr'ak",-1,0,"Southern Thanalan",True,True
94,0,0,0,1,37,"w1e6/00",400,0,0,"Thanalan","The Waking Sands","",-1,0,"The Waking Sands",True,True
95,0,0,0,1,85,"o1e2/00",400,0,0,"La Noscea","Rhotano Sea","",-1,0,,True,False
96,3,14,2,1,64,"w1r1/02",200,0,0,"Thanalan","Cutter's Cry","The Wet Sands",20,96,"Cutter's Cry",True,False
97,3,14,3,1,65,"w1r1/03",200,0,0,"Thanalan","Cutter's Cry","The Blue Sands",20,1792,"Cutter's Cry",True,False
