key,0,1,2,3,4
#,Name,AchievementKind,ShowComplete,HideCategory,Order
int32,str,AchievementKind,bit&01,bit&02,byte
0,"","",True,False,0
1,"全般","Battle",True,False,1
2,"ダンジョン","Battle",True,False,2
3,"討伐・討滅戦","Battle",True,False,3
4,"レイド","Battle",True,False,4
5,"モブハント","Battle",True,False,5
6,"トレジャーハント","Battle",True,False,6
7,"全般","PvP",True,False,1
8,"ランキング","PvP",True,True,2
9,"コロセウム","PvP",True,False,3
10,"フロントライン","PvP",True,False,4
11,"ライバルウィングズ","PvP",True,False,5
12,"全般","Character",True,False,1
13,"ファイター","Character",True,False,2
14,"ソーサラー","Character",True,False,3
15,"クラフター","Character",True,False,4
16,"ギャザラー","Character",True,False,5
17,"MIP","Character",True,False,6
18,"ゴールドソーサー","Character",True,False,7
19,"全般","Items",True,False,1
20,"通貨","Items",True,False,2
21,"分解","Items",True,False,3
22,"収集品","Items",True,False,4
23,"マテリア","Items",True,False,5
24,"木工師","Crafting & Gathering",True,False,2
25,"鍛冶師","Crafting & Gathering",True,False,3
26,"甲冑師","Crafting & Gathering",True,False,4
27,"彫金師","Crafting & Gathering",True,False,5
28,"革細工師","Crafting & Gathering",True,False,6
29,"裁縫師","Crafting & Gathering",True,False,7
30,"錬金術師","Crafting & Gathering",True,False,8
31,"調理師","Crafting & Gathering",True,False,9
32,"採掘師","Crafting & Gathering",True,False,10
33,"園芸師","Crafting & Gathering",True,False,11
34,"漁師","Crafting & Gathering",True,False,12
35,"全般","Quests",True,False,1
36,"リーヴ","Quests",True,False,2
37,"蛮族クエスト","Quests",True,False,3
38,"シーズナルイベント","Quests",True,True,4
39,"探検手帳","Exploration",True,False,1
40,"ラノシア","Exploration",True,False,2
41,"黒衣森","Exploration",True,False,3
42,"ザナラーン","Exploration",True,False,4
43,"クルザス","Exploration",True,False,5
44,"モードゥナ","Exploration",True,False,6
45,"アバラシア","Exploration",True,False,7
46,"ドラヴァニア","Exploration",True,False,8
47,"ギラバニア","Exploration",True,False,9
48,"オサード","Exploration",True,False,10
49,"コンテンツ","Exploration",True,False,100
50,"全般","Grand Company",True,False,1
51,"黒渦団","Grand Company",True,False,2
52,"双蛇党","Grand Company",True,False,3
53,"不滅隊","Grand Company",True,False,4
54,"バトル","Legacy",True,False,1
55,"通貨","Legacy",True,False,2
56,"採集","Legacy",True,False,3
57,"クエスト","Legacy",True,False,4
58,"シーズナルイベント","Legacy",True,False,5
59,"ダンジョン","Legacy",True,False,6
60,"探検","Legacy",True,False,7
61,"グランドカンパニー","Legacy",True,False,8
62,"古の武器","Items",True,False,6
63,"ゾディアックウェポン","Items",True,False,7
64,"アニマウェポン","Items",True,False,8
65,"ディープダンジョン魔器","Items",True,False,9
66,"エウレカウェポン","Items",True,False,10
67,"ノルヴラント","Exploration",True,False,11
68,"レジスタンス・ウェポン","Items",True,False,11
69,"全クラス共通","Crafting & Gathering",True,False,1
70,"スカイスチールツール","Items",True,False,51
71,"特殊フィールド探索","Battle",True,False,7
