key,0
#,Text
int32,str
0,""
1,"Ok"
2,"Abbrechen"
3,"Ja"
4,"Nein"
5,"Beenden"
6,"<Switch(IntegerParameter(1))><Case(1)><UIForeground>F20225</UIForeground><UIGlow>F20226</UIGlow></Case><Case(2)><UIForeground>F20227</UIForeground><UIGlow>F20228</UIGlow></Case><Case(3)><UIForeground>F20229</UIForeground><UIGlow>F2022A</UIGlow></Case><Case(4)><UIForeground>F2022B</UIForeground><UIGlow>F2022C</UIGlow></Case><Case(5)><UIForeground>F2022D</UIForeground><UIGlow>F2022E</UIGlow></Case><Case(6)><UIForeground>F2022F</UIForeground><UIGlow>F20230</UIGlow></Case><Case(7)><UIForeground>F20231</UIForeground><UIGlow>F20232</UIGlow></Case><Case(8)><UIForeground>F20233</UIForeground><UIGlow>F20234</UIGlow></Case></Switch>"
7,"(-)"
8,"..."
9," "
10,"Japanisch"
11,"Englisch"
12,"Deutsch"
13,"Französisch"
14,"Chinesisch"
15,"Online-ID: <Highlight>StringParameter(1)</Highlight>"
16,"..."
17,"<Format(IntegerParameter(1),FF022E)/>"
18,"<Format(IntegerParameter(1),FF022E)/>"
19,"<Value>IntegerParameter(1)</Value>/<Value>IntegerParameter(2)</Value>"
20,"<Format(IntegerParameter(1),FF022E)/>"
21,"<Time(IntegerParameter(1))/><Value>TopLevelParameter(219)</Value>.<Value>TopLevelParameter(221)</Value>.<Value>TopLevelParameter(222)</Value> <Value>TopLevelParameter(218)</Value>:<TwoDigitValue>TopLevelParameter(217)</TwoDigitValue>"
22,"<Time(IntegerParameter(1))/><Value>TopLevelParameter(219)</Value>.<Value>TopLevelParameter(221)</Value>.<TwoDigitValue>TopLevelParameter(222)</TwoDigitValue> <Value>TopLevelParameter(218)</Value>:<TwoDigitValue>TopLevelParameter(217)</TwoDigitValue>"
23,"<Time(IntegerParameter(1))/><Value>TopLevelParameter(219)</Value>. <Value>TopLevelParameter(221)</Value>. <Value>TopLevelParameter(222)</Value>"
24,"<Time(IntegerParameter(1))/><Value>TopLevelParameter(219)</Value>.<Value>TopLevelParameter(221)</Value>.<TwoDigitValue>TopLevelParameter(222)</TwoDigitValue>"
25,"<Time(IntegerParameter(1))/><Value>TopLevelParameter(219)</Value>.<Value>TopLevelParameter(221)</Value>."
26,"<Time(IntegerParameter(1))/><Value>TopLevelParameter(219)</Value>.<Value>TopLevelParameter(221)</Value>.<Value>TopLevelParameter(222)</Value>"
27,"<Time(IntegerParameter(1))/><Value>TopLevelParameter(219)</Value>.<Value>TopLevelParameter(221)</Value>."
28,"<Time(IntegerParameter(1))/><Value>TopLevelParameter(218)</Value>:<TwoDigitValue>TopLevelParameter(217)</TwoDigitValue>"
29,"<Time(IntegerParameter(1))/><If(LessThan(TopLevelParameter(218), 12))><Value>TopLevelParameter(218)</Value><Else/><Value>TopLevelParameter(218)</Value></If>:<TwoDigitValue>TopLevelParameter(217)</TwoDigitValue>"
30,"<Time(IntegerParameter(1))/><Value>TopLevelParameter(218)</Value>:<TwoDigitValue>TopLevelParameter(217)</TwoDigitValue>:<TwoDigitValue>TopLevelParameter(216)</TwoDigitValue>"
31,"<Time(IntegerParameter(1))/><If(LessThan(TopLevelParameter(218), 12))><Value>TopLevelParameter(218)</Value><Else/><Value>TopLevelParameter(218)</Value></If>:<TwoDigitValue>TopLevelParameter(217)</TwoDigitValue>:<TwoDigitValue>TopLevelParameter(216)</TwoDigitValue>"
32,"<Time(IntegerParameter(1))/><Value>TopLevelParameter(217)</Value>:<TwoDigitValue>TopLevelParameter(216)</TwoDigitValue>:<TwoDigitValue>TopLevelParameter(215)</TwoDigitValue>"
33,"<Value>IntegerParameter(1)</Value>:<TwoDigitValue>IntegerParameter(2)</TwoDigitValue>"
34,"<Value>PlayerParameter(11)</Value>:<TwoDigitValue>PlayerParameter(12)</TwoDigitValue>"
35,"St. <Value>IntegerParameter(1)</Value>"
36,"St. <If(GreaterThan(IntegerParameter(1),0))>+<Value>IntegerParameter(1)</Value><Else/><Value>IntegerParameter(1)</Value></If>"
37,"《<Highlight>StringParameter(1)</Highlight>》"
38,"<Highlight>StringParameter(1)</Highlight>.<Highlight>StringParameter(2)</Highlight>"
39,"Vor einigen Minuten"
40,"Vor <Value>IntegerParameter(1)</Value> Min"
41,"Vor <Value>IntegerParameter(1)</Value> Std"
42,"Vor <Value>IntegerParameter(1)</Value> Tag<If(Equal(IntegerParameter(1),1))><Else/>en</If>"
43,"<Value>IntegerParameter(1)</Value>s"
44,"<Value>IntegerParameter(1)</Value>m"
45,"<Value>IntegerParameter(1)</Value>st"
46,"--/--/----"
47,"--/--/--"
48,"--:--"
49,"<Value>IntegerParameter(1)</Value>s"
50,"Zuflüstern"
51,"Profil anzeigen"
52,"Profil bearbeiten"
53,"Handel anbieten"
54,"In die Gruppe einladen"
55,"Zum Gruppenanführer machen"
56,"Aus der Gruppe entfernen"
57,"Angreifen"
58,"Untersuchen"
59,"Auf die Schwarze Liste"
60,"Von Schwarzer Liste streichen"
61,"Freund<SoftHyphen/>schaft anbieten"
62,"Freund<SoftHyphen/>schaftsanfrage zurückziehen"
63,"Freund<SoftHyphen/>schaftsanfrage annehmen"
64,"Freund<SoftHyphen/>schaftsanfrage ablehnen"
65,"Von Freundesliste entfernen"
66,"Lesen"
67,"Antworten"
68,"Löschen"
69,"Gegenstand entfernen"
70,"Automatisches Verfolgen"
71,"Kontaktkreis-Chat anzeigen"
72,"Kontaktkreis-Chat verbergen"
73,"Diesen Kontaktkreis aktivieren"
74,"Kontaktkreis auflösen"
75,"In den Kontaktkreis eintreten"
76,"Nicht in den Kontaktkreis eintreten"
77,"Aus dem Kontaktkreis austreten"
78,"Zum Kontaktkreis-Meister machen"
79,"Zu Kontaktkreis-Anführer ernennen"
80,"Kontaktkreis-Anführer absetzen"
81,"Aus dem Kontaktkreis entfernen"
82,"Diesen Kontaktkreis deaktivieren"
83,"In Kontaktkreis einladen"
84,"Als Kontaktkreis-Anführer zurücktreten"
85,"Entfernen"
86,"Reiter abtrennen"
87,"Reiter löschen"
88,"Übergeben"
89,"Ablegen"
90,"Benutzen"
91,"Wegwerfen"
92,"Teilen"
93,"Verkaufen"
94,"Einem Brief beifügen"
95,"Handeln"
96,"Anlegen"
97,"An Gehilfen übergeben"
98,"Vom Gehilfen zurücknehmen"
99,"Auf dem Markt anbieten"
100,"Kopieren"
101,"Einfügen"
102,"Ausschneiden"
103,"Ausführen"
104,"Löschen"
105,"Rückgängig"
106,"Wiederherstellen"
107,"Reparieren"
108,"Die Gruppe verlassen und den laufenden Spielinhalt beenden?"
109,"Den laufenden Spielinhalt als Fehlschlag beenden?"
110,"<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow><Clickable(<If(Equal(IntegerParameter(2),1))><SheetDe(Item,2,IntegerParameter(1),1,4,1)/> wirklich<Else/>Wirklich <Value>IntegerParameter(2)</Value> <SheetDe(Item,5,IntegerParameter(1),2,4,1)/></If>)/> wegwerfen?<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
111,"Zum Heimatpunkt <Sheet(PlaceName,<Sheet(Aetheryte,IntegerParameter(1),8)/>,0)/> zurückkehren?"
112,"Willst du dich wiederbeleben lassen? "
113,"Willst du dich von <Highlight>StringParameter(1)</Highlight> wiederbeleben lassen?"
114,"Zum Ausrüstungsset <Value>IntegerParameter(2)</Value>: „<Highlight>StringParameter(1)</Highlight>“ wechseln?"
115,"Zum Titelbildschirm zurückkehren?"
116,"Das Spiel beenden?"
117,"Zum Heimatpunkt zurückkehren?"
118,"Zum Ausgangspunkt von „<Highlight>ObjectParameter(56)</Highlight>“ zurückkehren?"
119,"Zum Ausgangspunkt von „<Highlight>ObjectParameter(56)</Highlight>“ zurückkehren?

<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>※ Wenn du einen geschlossenen Kampfplatz verlässt, kannst du ihn erst wieder betreten, wenn der Kampf beendet ist.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
"
120,"Der Gruppe von <Highlight>StringParameter(1)</Highlight> beitreten?"
121,"Die Einladung in die Gruppe von <Highlight>StringParameter(1)</Highlight> ablehnen?"
122,"Die Gruppe verlassen?"
123,"Die Gruppe auflösen?"
124,"<Highlight>StringParameter(1)</Highlight> auf die Schwarze Liste setzen?"
125,"<Highlight>StringParameter(1)</Highlight> von der Schwarzen Liste entfernen?"
126,"Dich auf die Freundesliste von <Highlight>StringParameter(1)</Highlight> setzen lassen?
(Mit der Option „Später“ kann man die Anfrage auch später noch in der Freundesliste annehmen oder ablehnen.)"
127,"Die Freund<SoftHyphen/>schaftsanfrage von <Highlight>StringParameter(1)</Highlight> ablehnen?"
128,"Die Freund<SoftHyphen/>schaftsanfrage an <Highlight>StringParameter(1)</Highlight> abbrechen?"
129,"<Highlight>StringParameter(1)</Highlight> von der Freundesliste löschen? Du bleibst auf der Liste des anderen Charakters jedoch registriert."
130,"Brief an <Highlight>StringParameter(1)</Highlight> abschicken?"
131,"Du kannst den Brief nicht abschicken, weil <Highlight>StringParameter(1)</Highlight> nicht dein Freund ist."
132,"Diesen Brief löschen?"
133,"Bestimme einen Empfänger aus deiner Freundesliste."
134,"Dem Kontaktkreis „<Highlight>StringParameter(1)</Highlight>“ beitreten?"
135,"Die Einladung in den Kontaktkreis „<Highlight>StringParameter(1)</Highlight>“ ablehnen?"
136,"Aus dem Kontaktkreis „<Highlight>StringParameter(1)</Highlight>“ austreten?"
137,"Den Kontaktkreis „<Highlight>StringParameter(1)</Highlight>“ auflösen?
Dieser Schritt kann nicht rückgängig gemacht werden."
138,"Ja, wirklich auflösen."
139,"<Highlight>StringParameter(1)</Highlight> aus dem Kontaktkreis entfernen?"
140,"<Highlight>StringParameter(1)</Highlight> zu einem Anführer des Kontaktkreises ernennen?"
141,"<Highlight>StringParameter(1)</Highlight> als Anführer des Kontaktkreises absetzen?"
