key,0
#,Text
int32,str
0,""
1,"OK"
2,"Annuler"
3,"Oui"
4,"Non"
5,"Annuler"
6,"<Switch(IntegerParameter(1))><Case(1)><UIForeground>F20225</UIForeground><UIGlow>F20226</UIGlow></Case><Case(2)><UIForeground>F20227</UIForeground><UIGlow>F20228</UIGlow></Case><Case(3)><UIForeground>F20229</UIForeground><UIGlow>F2022A</UIGlow></Case><Case(4)><UIForeground>F2022B</UIForeground><UIGlow>F2022C</UIGlow></Case><Case(5)><UIForeground>F2022D</UIForeground><UIGlow>F2022E</UIGlow></Case><Case(6)><UIForeground>F2022F</UIForeground><UIGlow>F20230</UIGlow></Case><Case(7)><UIForeground>F20231</UIForeground><UIGlow>F20232</UIGlow></Case><Case(8)><UIForeground>F20233</UIForeground><UIGlow>F20234</UIGlow></Case></Switch>"
7,"Aucun"
8,"..."
9,"<Indent/>"
10,"Japonais"
11,"Anglais"
12,"Allemand"
13,"Français"
14,"Chinois simplifié"
15,"ID en ligne<Indent/>: <Highlight>StringParameter(1)</Highlight>"
16,"..."
17,"<Format(IntegerParameter(1),FF05021D0103)/> "
18,"<Format(IntegerParameter(1),FF05021D0103)/>"
19,"<Value>IntegerParameter(1)</Value>/<Value>IntegerParameter(2)</Value>"
20,"<Format(IntegerParameter(1),FF05021D0103)/>"
21,"<Time(IntegerParameter(1))/><Value>TopLevelParameter(219)</Value>.<Value>TopLevelParameter(221)</Value>.<Value>TopLevelParameter(222)</Value> <Value>TopLevelParameter(218)</Value>:<TwoDigitValue>TopLevelParameter(217)</TwoDigitValue>"
22,"<Time(IntegerParameter(1))/><Value>TopLevelParameter(219)</Value>.<Value>TopLevelParameter(221)</Value>.<TwoDigitValue>TopLevelParameter(222)</TwoDigitValue> <Value>TopLevelParameter(218)</Value>:<TwoDigitValue>TopLevelParameter(217)</TwoDigitValue>"
23,"<Time(IntegerParameter(1))/><Value>TopLevelParameter(219)</Value>.<Value>TopLevelParameter(221)</Value>.<Value>TopLevelParameter(222)</Value>"
24,"<Time(IntegerParameter(1))/><Value>TopLevelParameter(219)</Value>.<Value>TopLevelParameter(221)</Value>.<TwoDigitValue>TopLevelParameter(222)</TwoDigitValue>"
25,"<Time(IntegerParameter(1))/><Value>TopLevelParameter(219)</Value>.<Value>TopLevelParameter(221)</Value>"
26,"<Time(IntegerParameter(1))/><Value>TopLevelParameter(219)</Value>.<Value>TopLevelParameter(221)</Value>.<Value>TopLevelParameter(222)</Value>"
27,"<Time(IntegerParameter(1))/><Value>TopLevelParameter(219)</Value>.<Value>TopLevelParameter(221)</Value>"
28,"<Time(IntegerParameter(1))/><Value>TopLevelParameter(218)</Value>:<TwoDigitValue>TopLevelParameter(217)</TwoDigitValue>"
29,"<Time(IntegerParameter(1))/><If(LessThan(TopLevelParameter(218), 12))><Value>TopLevelParameter(218)</Value><Else/><Value>TopLevelParameter(218)</Value></If>:<TwoDigitValue>TopLevelParameter(217)</TwoDigitValue>"
30,"<Time(IntegerParameter(1))/><Value>TopLevelParameter(218)</Value>:<TwoDigitValue>TopLevelParameter(217)</TwoDigitValue>:<TwoDigitValue>TopLevelParameter(216)</TwoDigitValue>"
31,"<Time(IntegerParameter(1))/><If(LessThan(TopLevelParameter(218), 12))><Value>TopLevelParameter(218)</Value><Else/><Value>TopLevelParameter(218)</Value></If>:<TwoDigitValue>TopLevelParameter(217)</TwoDigitValue>:<TwoDigitValue>TopLevelParameter(216)</TwoDigitValue>"
32,"<Time(IntegerParameter(1))/><Value>TopLevelParameter(217)</Value>:<TwoDigitValue>TopLevelParameter(216)</TwoDigitValue>:<TwoDigitValue>TopLevelParameter(215)</TwoDigitValue>"
33,"<Value>IntegerParameter(1)</Value>:<TwoDigitValue>IntegerParameter(2)</TwoDigitValue>"
34,"<Value>PlayerParameter(11)</Value>:<TwoDigitValue>PlayerParameter(12)</TwoDigitValue>"
35,"Nv <Value>IntegerParameter(1)</Value>"
36,"Nv <If(GreaterThan(IntegerParameter(1),0))>+<Value>IntegerParameter(1)</Value><Else/><Value>IntegerParameter(1)</Value></If>"
37,"《<Highlight>StringParameter(1)</Highlight>》"
38,"<Highlight>StringParameter(1)</Highlight>,<Highlight>StringParameter(2)</Highlight>"
39,"Il y a quelques minutes"
40,"<Value>IntegerParameter(1)</Value>m"
41,"<Value>IntegerParameter(1)</Value>h"
42,"<Value>IntegerParameter(1)</Value>j"
43,"<Value>IntegerParameter(1)</Value>s"
44,"<Value>IntegerParameter(1)</Value>m"
45,"<Value>IntegerParameter(1)</Value>h"
46,"--/--/----"
47,"--/--/--"
48,"--:--"
49,"<Value>IntegerParameter(1)</Value> s"
50,"Murmurer"
51,"Voir le profil de recherche"
52,"Modifier le profil de recherche"
53,"Échanger"
54,"Inviter dans l'équipe"
55,"Nommer chef d'équipe"
56,"Exclure de l'équipe"
57,"Attaquer"
58,"Examiner"
59,"Ajouter à la liste noire"
60,"Enlever de la liste noire"
61,"Envoyer une requête d'ami"
62,"Annuler la requête d'ami"
63,"Accepter la requête d'ami"
64,"Refuser la requête d'ami"
65,"Enlever de la liste d'amis"
66,"Lire"
67,"Répondre"
68,"Effacer"
69,"Enlever l'objet"
70,"Suivre"
71,"Cacher le log de la linkshell"
72,"Montrer le log de la linkshell"
73,"Activer la linkshell"
74,"Dissoudre la linkshell"
75,"Accepter l'invitation dans la linkshell"
76,"Refuser l'invitation dans la linkshell"
77,"Quitter la linkshell"
78,"Promouvoir au rang de chef"
79,"Promouvoir au rang d'officier"
80,"Rétrograder au rang de membre"
81,"Exclure de la linkshell"
82,"Désactiver la linkshell"
83,"Inviter dans une linkshell"
84,"Renoncer au rang d'officier de la linkshell"
85,"Supprimer"
86,"Diviser l'onglet"
87,"Supprimer l'onglet"
88,"Donner"
89,"Enlever"
90,"Utiliser"
91,"Jeter"
92,"Diviser"
93,"Vendre"
94,"Joindre"
95,"Échanger"
96,"Équiper"
97,"Confier au servant"
98,"Reprendre au servant"
99,"Vendre"
100,"Copier"
101,"Coller"
102,"Couper"
103,"Exécuter"
104,"Supprimer"
105,"Rétablir"
106,"Refaire"
107,"Réparer"
108,"Abandonner la mission en cours et quitter l'équipe<Indent/>?"
109,"Abandonner la mission en cours<Indent/>?"
110,"<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>Jeter <If(Equal(IntegerParameter(2),1))><SheetFr(Item,2,IntegerParameter(1),1,1)/><Else/><Value>IntegerParameter(2)</Value> <SheetFr(Item,12,IntegerParameter(1),IntegerParameter(2),1)/></If><Indent/>?<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
111,"Vous avez perdu conscience. Aller à votre point de retour (<Sheet(PlaceName,<Sheet(Aetheryte,IntegerParameter(1),8)/>,0)/>)<Indent/>?"
112,"Accepter la résurrection<Indent/>?"
113,"Accepter la résurrection de <Highlight>StringParameter(1)</Highlight><Indent/>?"
114,"S'équiper de la tenue n°<Value>IntegerParameter(2)</Value> “<Highlight>StringParameter(1)</Highlight>”<Indent/>?"
115,"Se déconnecter et retourner à l'écran titre<Indent/>?"
116,"Se déconnecter et quitter le jeu<Indent/>?"
117,"Se rapatrier<Indent/>?"
118,"Retourner au point de départ de la mission <Highlight>ObjectParameter(56)</Highlight><Indent/>?"
119,"Retour au point de départ de la mission “<Highlight>ObjectParameter(56)</Highlight>”.

<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>* Il est impossible d'accéder à une aire fermée, tant que le combat s'y déroulant n'est pas terminé.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
"
120,"Rejoindre l'équipe de <Highlight>StringParameter(1)</Highlight><Indent/>?"
121,"Refuser l'invitation dans l'équipe de <Highlight>StringParameter(1)</Highlight><Indent/>?"
122,"Quitter l'équipe<Indent/>?"
123,"Dissoudre l'équipe<Indent/>?"
124,"Ajouter <Highlight>StringParameter(1)</Highlight> à votre liste noire<Indent/>?"
125,"Enlever <Highlight>StringParameter(1)</Highlight> de votre liste noire<Indent/>?"
126,"Accepter la requête d'ami de <Highlight>StringParameter(1)</Highlight> et l'ajouter of<SoftHyphen/>fi<SoftHyphen/>ciel<SoftHyphen/>le<SoftHyphen/>ment à votre liste d'amis<Indent/>?
(Si vous choisissez “Réfléchir”, vous pourrez plus tard accepter ou rejeter la requête depuis votre liste d'amis.)"
127,"Refuser la requête d'ami de <Highlight>StringParameter(1)</Highlight><Indent/>?"
128,"Annuler la requête d'ami envoyée à <Highlight>StringParameter(1)</Highlight><Indent/>?"
129,"Enlever <Highlight>StringParameter(1)</Highlight> de votre liste d'amis<Indent/>?"
130,"Envoyer la lettre à <Highlight>StringParameter(1)</Highlight><Indent/>?"
131,"Impossible d'envoyer la lettre. <Highlight>StringParameter(1)</Highlight> n'est pas dans votre liste d'amis."
132,"Supprimer cette lettre<Indent/>?"
133,"Sélectionnez le des<SoftHyphen/>ti<SoftHyphen/>na<SoftHyphen/>tai<SoftHyphen/>re dans votre liste d'amis pour envoyer la lettre."
134,"Rejoindre la linkshell <Highlight>StringParameter(1)</Highlight><Indent/>?"
135,"Refuser l'invitation dans la linkshell <Highlight>StringParameter(1)</Highlight><Indent/>?"
136,"Quitter la linkshell <Highlight>StringParameter(1)</Highlight><Indent/>?"
137,"Dissoudre une linkshell est définitif. Voulez-vous vraiment dissoudre <Highlight>StringParameter(1)</Highlight><Indent/>?"
138,"Oui, je veux dissoudre cette linkshell."
139,"Exclure <Highlight>StringParameter(1)</Highlight> de la linkshell<Indent/>?"
140,"Promouvoir <Highlight>StringParameter(1)</Highlight> au rang d'officier<Indent/>?"
141,"Rétrograder <Highlight>StringParameter(1)</Highlight> au rang de membre<Indent/>?"
142,"Promouvoir <Highlight>StringParameter(1)</Highlight> au rang de chef et lui donner tous les droits de cette position<Indent/>?"
143,"Oui."
144,""
145,"Calendrier"
146,"<Clickable(<Sheet(InstanceContent,IntegerParameter(1),3)/>)/>"
