key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
#,Number,Icon,Stats,Description,,Location,StartQuest,NextQuest,,,,,,,,,,,,
int32,byte,Image,str,str,byte,ContentFinderCondition,Quest,Quest,bit&01,bit&02,bit&04,bit&08,bit&10,bit&20,bit&40,bit&80,bit&01,bit&02,bit&04,bit&08
0,0,,"","",0,"",,,False,False,False,False,False,False,False,False,False,False,False,False
1,25,"ui/icon/072000/072201.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Magie
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Wind
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★★
","Typhons Spezialwaffe.
Ein kräftiger Nieser, der fächerförmig vor dem Wirkenden alle Gegner erfasst. Neben dem starken Windstoß zieht auch der Ekel die Getroffenen nicht unerheblich in Leidenschaft.",4,"the Dragon's Neck",,,True,False,False,False,False,False,False,False,False,False,False,False
2,26,"ui/icon/072000/072202.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Physisch/Schlag
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Neutral
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★★
","Ultros' Spezialattacke.
Ein wahrlich niederschmetternder Angriff, dessen Wirkung von seinen Opfern als „erdrückend“ beschrieben wird.",4,"the Dragon's Neck",,,True,False,False,False,False,False,False,False,False,False,True,False
3,1,"ui/icon/072000/072203.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Magie
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Wasser
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★
","Angriffszauber der Kraken.
Schießt mit Hochdruck einen harten Wasserstrahl auf den Gegner. Sammelt den in der Luft enthaltenen wasserbasierten Äther und kann deshalb auch an trockenen Orten eingesetzt werden.",3,"",,,True,False,False,False,False,False,False,False,False,False,False,False
4,9,"ui/icon/072000/072204.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Magie
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Neutral
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★
","Natürliches Talent der Sirenen.
Ein betörender Gesang, der sich unweigerlich in das Innere seiner Opfer bohrt und so starke - wenn auch eingebildete - Schmerzen hervorruft, dass sie körperliche Schäden hinterlassen.",4,"Pharos Sirius",,,True,False,False,False,False,False,False,False,False,False,False,False
5,6,"ui/icon/072000/072205.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Magie
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Blitz
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★★
","Ein technologiebasierter Zauber der Allager.
Der Stromschlag mit Flächenwirkung wird durch eine Ansammlung von Blitzäther erzeugt, kann aber aufgrund einer komplizierten Verstrickungsmagie auch von unbeseelten Maschinen ausgeführt werden.",4,"the Binding Coil of Bahamut - Turn 1",,,True,False,False,False,True,False,False,False,False,False,False,False
6,28,"ui/icon/072000/072206.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Magie
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Neutral
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★
","Hinterhältiger Angriff der Morbol.
Wind oder Erde sollen einen großen Anteil an dieser müffeligen Flächenattacke haben, aber auch die anderen Elemente, in ihrer verdorbensten Form, müssen eine Rolle spielen. Kein Element alleine kann so stinken.",1,"Ward Up",,,True,False,True,False,True,True,True,False,False,False,True,False
7,4,"ui/icon/072000/072207.tex","<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Typus: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Physisch/Schlag
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Element: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>Neutral
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Rang: <UIGlow>01</UIGlow><UIForeground>01</UIForeground>★★★
","Aggressivverhalten der Anzu.
Um ihre Jungtiere zu schützen, haben die Anzu eine Attacke entwickelt, mit der sie ihren ganzen Zorn in einem angsterfüllenden Angriff bündeln, der beim Opfer bleibende Schäden hinterlässt.",4,"Pharos Sirius",,,True,False,False,False,False,False,False,False,False,False,False,False
