key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,Name,Model{Top},Model{Body},Model{Legs},GrandCompany,Icon{Head},Icon{Body},Icon{Legs},Order
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,int32,int32,int32,GrandCompany,Image,Image,Image,byte
0,"Ledersattel",4,"Ledersättel",2,0,1,0,0,"Ledersattel",0,0,0,"None",,,,0
1,"limsisch[a] Sattelzeug",4,"limsisch[a] Sattelzeuge",2,0,1,2,0,"Limsisches Sattelzeug",65538,65541,65538,"Maelstrom","ui/icon/049000/049049.tex","ui/icon/049000/049053.tex","ui/icon/049000/049051.tex",1
2,"leicht[a] limsisch[a] Rossharnisch",4,"leicht[a] limsisch[a] Rossharnische",2,0,1,0,0,"Leichter limsischer Rossharnisch",65542,65542,65542,"Maelstrom","ui/icon/049000/049001.tex","ui/icon/049000/049002.tex","ui/icon/049000/049003.tex",2
3,"limsisch[a] Rossharnisch",4,"limsisch[a] Rossharnische",2,0,1,0,0,"Limsischer Rossharnisch",131078,131078,131078,"Maelstrom","ui/icon/049000/049004.tex","ui/icon/049000/049005.tex","ui/icon/049000/049006.tex",3
4,"schwer[a] limsisch[a] Rossharnisch",4,"schwer[a] limsisch[a] Rossharnische",2,0,1,0,0,"Schwerer limsischer Rossharnisch",196614,196614,196614,"Maelstrom","ui/icon/049000/049007.tex","ui/icon/049000/049008.tex","ui/icon/049000/049009.tex",4
5,"gridanisch[a] Sattelzeug",4,"gridanisch[a] Sattelzeuge",2,0,1,2,0,"Gridanisches Sattelzeug",65538,131077,65538,"Order of the Twin Adder","ui/icon/049000/049049.tex","ui/icon/049000/049056.tex","ui/icon/049000/049051.tex",5
6,"leicht[a] gridanisch[a] Rossharnisch",4,"leicht[a] gridanisch[a] Rossharnische",2,0,1,0,0,"Leichter gridanischer Rossharnisch",65543,65543,65543,"Order of the Twin Adder","ui/icon/049000/049010.tex","ui/icon/049000/049011.tex","ui/icon/049000/049012.tex",6
7,"gridanisch[a] Rossharnisch",4,"gridanisch[a] Rossharnische",2,0,1,0,0,"Gridanischer Rossharnisch",131079,131079,131079,"Order of the Twin Adder","ui/icon/049000/049013.tex","ui/icon/049000/049014.tex","ui/icon/049000/049015.tex",7
8,"schwer[a] gridanisch[a] Rossharnisch",4,"schwer[a] gridanisch[a] Rossharnische",2,0,1,0,0,"Schwerer gridanischer Rossharnisch",196615,196615,196615,"Order of the Twin Adder","ui/icon/049000/049016.tex","ui/icon/049000/049017.tex","ui/icon/049000/049018.tex",8
9,"ul'dhisch[a] Sattelzeug",4,"ul'dhisch[a] Sattelzeug",2,0,1,2,0,"Ul'dhisches Sattelzeug",65538,196613,65538,"Immortal Flames","ui/icon/049000/049049.tex","ui/icon/049000/049059.tex","ui/icon/049000/049051.tex",9
10,"leicht[a] ul'dhisch[a] Rossharnisch",4,"leicht[a] ul'dhisch[a] Rossharnische",2,0,1,0,0,"Leichter ul'dhischer Rossharnisch",65544,65544,65544,"Immortal Flames","ui/icon/049000/049019.tex","ui/icon/049000/049020.tex","ui/icon/049000/049021.tex",10
11,"ul'dhisch[a] Rossharnisch",4,"ul'dhisch[a] Rossharnische",2,0,1,0,0,"Ul'dhischer Rossharnisch",131080,131080,131080,"Immortal Flames","ui/icon/049000/049022.tex","ui/icon/049000/049023.tex","ui/icon/049000/049024.tex",11
12,"schwer[a] ul'dhisch[a] Rossharnisch",4,"schwer[a] ul'dhisch[a] Rossharnische",2,0,1,0,0,"Schwerer ul'dhischer Rossharnisch",196616,196616,196616,"Immortal Flames","ui/icon/049000/049025.tex","ui/icon/049000/049026.tex","ui/icon/049000/049027.tex",12
13,"Paladin-Rossharnisch",4,"Paladin-Rossharnische",2,0,1,0,0,"Paladin-Rossharnisch",65546,65546,65546,"None","ui/icon/049000/049028.tex","ui/icon/049000/049029.tex","ui/icon/049000/049030.tex",13
14,"Dragoon-Rossharnisch",4,"Dragoon-Rossharnische",2,0,1,0,0,"Dragoon-Rossharnisch",65547,65547,65547,"None","ui/icon/049000/049031.tex","ui/icon/049000/049032.tex","ui/icon/049000/049033.tex",14
15,"Weißmagier-Rossharnisch",4,"Weißmagier-Rossharnische",2,0,1,0,0,"Weißmagier-Rossharnisch",65549,65549,65549,"None","ui/icon/049000/049034.tex","ui/icon/049000/049035.tex","ui/icon/049000/049036.tex",15
16,"Sleipnir-Rossharnisch",4,"Sleipnir-Rossharnische",2,0,1,0,0,"Sleipnir-Rossharnisch",65550,65550,65550,"None","ui/icon/049000/049037.tex","ui/icon/049000/049038.tex","ui/icon/049000/049039.tex",171
17,"Behemoth-Rossharnisch",4,"Behemoth-Rossharnische",2,0,1,0,0,"Behemoth-Rossharnisch",65551,65551,65551,"None","ui/icon/049000/049040.tex","ui/icon/049000/049041.tex","ui/icon/049000/049042.tex",172
18,"Chocobo-Fliegerhaube",3,"Chocobo-Fliegerhauben",1,0,1,1,0,"Chocobo-Fliegerhaube",65555,0,0,"None","ui/icon/049000/049043.tex",,,51
19,"Schwarzmagier-Rossharnisch",4,"Schwarzmagier-Rossharnische",2,0,1,0,0,"Schwarzmagier-Rossharnisch",65548,65548,65548,"None","ui/icon/049000/049046.tex","ui/icon/049000/049047.tex","ui/icon/049000/049048.tex",21
