key,0,1,2,3,4,5,6,7,8,9,10,11
#,TopImage,BottomImage,FontColor,,,,UnlockCondition,,,,SortKey,Name
int32,Image,Image,byte,byte,byte,byte,BannerCondition,uint16,uint16,byte,byte,str
0,"ui/icon/196000/196001.tex","ui/icon/196000/196251.tex",0,0,0,0,"BannerCondition#1",0,0,0,0,"Nichts"
1,"ui/icon/196000/196002.tex","ui/icon/196000/196252.tex",1,0,0,0,"BannerCondition#1",0,0,1,3,"Schwarz (transparent)"
2,"ui/icon/196000/196003.tex","ui/icon/196000/196253.tex",1,0,0,0,"BannerCondition#1",0,0,1,1,"Graustufen"
3,"ui/icon/196000/196004.tex","ui/icon/196000/196254.tex",1,0,0,0,"BannerCondition#1",0,0,1,2,"Violettstufen"
4,"ui/icon/196000/196005.tex","ui/icon/196000/196255.tex",2,0,0,0,"BannerCondition#1",0,0,1,5,"Elfenbein"
5,"ui/icon/196000/196006.tex","ui/icon/196000/196256.tex",1,0,0,0,"BannerCondition#1",0,0,1,9,"Speer"
6,"ui/icon/196000/196007.tex","ui/icon/196000/196257.tex",1,0,0,0,"BannerCondition#1",0,0,1,10,"Klassisch"
7,"ui/icon/196000/196008.tex","ui/icon/196000/196258.tex",2,0,0,0,"BannerCondition#1",0,0,1,7,"Holzbrett"
8,"ui/icon/196000/196009.tex","ui/icon/196000/196259.tex",1,0,0,0,"BannerCondition#1",0,0,1,4,"Blau (transparent)"
9,"ui/icon/196000/196010.tex","ui/icon/196000/196260.tex",1,0,0,0,"BannerCondition#1",0,0,1,6,"Holzmuster"
10,"ui/icon/196000/196011.tex","ui/icon/196000/196261.tex",1,0,0,0,"BannerCondition#1",0,0,1,8,"Pergament"
11,"ui/icon/196000/196101.tex",,1,0,0,0,"BannerCondition#319",0,0,4,120,"Schatten von Bahamut (fatal)"
12,"ui/icon/196000/196102.tex",,1,0,0,0,"BannerCondition#320",0,0,4,121,"Heldenlied von Ultima (fatal)"
