key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,Model,Scale,InactiveIdle[0],InactiveIdle[1],InactiveBattle,InactiveWandering,Behavior,Special,WanderingWait,Priority,,,,,,Enemy,Battle,Roulette,Icon,Order,IdleAnimation,,Cost,HP,,Skill{Angle},Skill{Cost},,,MinionRace,,
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,ModelChara,byte,byte,byte,byte,byte,CompanionMove,byte,byte,byte,byte,uint16,bit&01,bit&02,bit&04,bit&08,bit&10,uint16,Image,bit&40,uint16,uint16,bit&80,byte,byte,uint16,byte,uint16,byte,MinionRace,uint16,byte
0,"",0,"",0,0,1,0,0,"ModelChara#0",100,0,0,0,0,"",0,0,0,8,0,False,False,False,False,False,0,,True,0,0,False,0,10,100,0,0,20,"",0,0
1,"bombino",0,"bombini",0,0,1,0,0,"ModelChara#427",100,30,0,0,0,"Independent",0,0,0,8,1,True,False,True,False,False,0,,True,4403,1001,True,0,10,390,5,360,30,"Critter",600,2
2,"pantin P001",0,"pantins P001",0,0,1,0,0,"ModelChara#419",100,30,0,0,0,"Obedient",0,0,0,8,200,False,True,False,False,False,0,,True,4401,10001,True,0,10,410,37,0,20,"Critter",620,3
3,"bébé chocobo",0,"bébés chocobos",0,0,1,0,0,"ModelChara#423",100,30,0,30,0,"Independent",0,0,0,8,3,True,False,True,False,True,0,,True,4402,1,True,0,15,410,23,30,20,"Critter",601,1
4,"poupée Cait Sith",0,"poupées Cait Sith",0,0,1,1,0,"ModelChara#430",100,30,0,0,0,"Obedient",0,0,0,8,201,False,True,False,False,False,0,,True,4404,10006,True,0,20,400,25,360,20,"Critter",625,3
5,"bébéhémoth",0,"bébéhémoths",0,0,1,0,0,"ModelChara#428",100,30,0,0,0,"Independent",0,0,0,8,5,True,False,True,False,True,0,,True,4405,1002,True,90,15,430,1,30,20,"Critter",601,2
6,"pantin P003L",0,"pantins P003L",0,0,1,0,0,"ModelChara#420",100,30,0,0,0,"Obedient",0,0,0,8,200,False,True,False,False,False,0,,True,4406,10002,True,0,10,365,14,30,20,"Critter",607,3
7,"pantin P003G",0,"pantins P003G",0,0,1,0,0,"ModelChara#421",100,30,0,0,0,"Obedient",0,0,0,8,200,False,True,False,False,False,0,,True,4407,10003,True,0,10,280,25,360,20,"Critter",625,3
8,"pantin P003U",0,"pantins P003U",0,0,1,0,0,"ModelChara#422",100,30,0,0,0,"Obedient",0,0,0,8,200,False,True,False,False,False,0,,True,4408,10004,True,0,10,420,13,120,20,"Critter",631,3
9,"bébé chocobo du Maelstrom",0,"bébés chocobos du Maelstrom",0,0,1,0,0,"ModelChara#424",100,30,0,30,0,"Independent",0,0,0,8,3,True,False,True,False,True,0,,True,4409,2,True,0,10,315,19,30,30,"Critter",601,1
10,"bébé chocobo des Deux Vipères",0,"bébés chocobos des Deux Vipères",0,0,1,0,0,"ModelChara#425",100,30,0,30,0,"Independent",0,0,0,8,3,True,False,True,False,True,0,,True,4410,3,True,0,10,350,30,360,20,"Critter",623,1
11,"bébé chocobo des Immortels",0,"bébés chocobos des Immortels",0,0,1,0,0,"ModelChara#426",100,30,0,30,0,"Independent",0,0,0,8,3,True,False,True,False,True,0,,True,4411,4,True,0,10,320,26,120,20,"Critter",622,1
12,"bulbe de morbol",0,"bulbes de morbol",0,0,1,0,0,"ModelChara#429",100,30,0,0,0,"Independent",0,0,0,8,6,True,False,True,False,False,0,,True,4412,1003,True,0,30,560,20,120,20,"Critter",602,2
13,"écureuil nain",0,"écureuils nains",0,1,1,0,0,"ModelChara#431",100,30,0,0,0,"Independent",0,0,0,8,7,True,False,False,False,True,0,,True,4413,1004,True,0,10,400,14,120,20,"Critter",622,1
14,"fungus miniature",0,"fungi miniatures",0,0,1,0,0,"ModelChara#432",100,30,0,0,0,"Independent",0,0,0,8,8,True,False,False,True,False,0,,True,4414,1005,True,0,10,395,4,120,20,"Critter",602,2
15,"chigoe apprivoisé",0,"chigoes apprivoisés",0,0,1,0,0,"ModelChara#433",100,30,0,0,0,"Independent",0,0,0,8,9,True,False,True,True,False,0,,True,4415,1006,True,130,10,420,9,0,20,"Critter",620,1
16,"oiseau bleu",0,"oiseaux bleus",0,1,1,0,0,"ModelChara#434",80,30,0,0,0,"Independent",3,0,0,8,10,True,False,True,False,True,0,,True,4416,5001,True,100,15,460,1,120,20,"Critter",605,1
17,"faon aux yeux de biche",0,"faons aux yeux de biche",0,0,1,0,0,"ModelChara#435",100,20,10,0,30,"Independent",0,0,0,8,11,True,False,False,False,True,0,,True,4417,1007,True,0,15,400,22,360,20,"Monster",632,1
18,"bébé imp",0,"bébés imp",0,0,1,0,0,"ModelChara#436",100,20,10,0,0,"Independent",0,0,0,8,12,True,False,False,False,True,0,,True,4418,1008,True,0,20,380,1,120,20,"Monster",608,2
19,"joli coeurl",0,"jolis coeurls",0,0,1,0,0,"ModelChara#437",85,10,10,0,0,"Independent",0,0,0,8,13,True,False,True,False,True,35,"ui/icon/000000/000001.tex",True,4452,1009,True,0,10,365,1,30,30,"Poppet",603,1
20,"coeurl noir",0,"coeurls noirs",0,0,1,0,0,"ModelChara#438",75,10,10,0,0,"Independent",0,0,0,8,13,True,False,True,False,True,35,"ui/icon/000000/000001.tex",True,4514,1010,True,0,15,380,31,0,30,"Poppet",620,1
21,"Hildibrand miniature",0,"Hildibrand miniatures",0,0,1,0,0,"ModelChara#882",100,10,0,0,0,"Obedient",0,0,0,8,268,False,True,False,False,False,0,,True,4515,9014,True,0,30,400,16,360,60,"Monster",630,3
22,"golem graveleux",0,"golem graveleux",0,0,1,0,0,"ModelChara#440",100,20,10,0,0,"Obedient",0,0,0,8,202,False,True,False,True,False,0,,True,4419,1011,True,0,20,480,10,0,20,"Monster",620,2
23,"tomberry mécanique",0,"tomberry mécaniques",0,0,1,0,0,"ModelChara#441",100,30,0,0,0,"Obedient",0,0,0,8,203,False,True,False,True,False,0,"ui/icon/000000/000001.tex",True,4453,1012,True,0,20,470,16,360,60,"Critter",630,2
24,"tortue naine",0,"tortues naines",0,0,1,1,0,"ModelChara#442",100,10,10,0,0,"Independent",0,0,0,8,18,True,False,False,False,True,0,,True,4420,1013,True,0,20,480,14,120,20,"Monster",622,2
25,"bébé raptor",0,"bébés raptors",0,0,1,0,0,"ModelChara#443",100,20,20,0,0,"Independent",0,0,0,8,19,True,False,False,False,True,0,,True,4421,1014,True,0,10,400,21,0,20,"Monster",620,2
26,"bébé chauve-souris",0,"bébés chauve-souris",0,0,1,0,0,"ModelChara#444",100,30,0,0,0,"Independent",0,0,0,8,20,True,False,False,False,False,0,,True,4422,1015,True,0,10,420,20,120,20,"Critter",631,2
27,"bulbe miniature",0,"bulbe miniature",0,0,1,0,0,"ModelChara#445",100,30,0,0,0,"Independent",0,0,0,8,21,True,False,False,False,False,0,,True,4423,1016,True,0,25,480,35,360,25,"Critter",634,2
28,"lapin mutin",0,"lapins mutins",0,0,1,0,0,"ModelChara#446",100,10,10,0,30,"Independent",0,0,0,8,22,True,False,False,True,False,0,,True,4424,1017,True,0,10,340,1,120,20,"Monster",609,1
29,"dullahan nain",0,"dullahan nains",0,0,1,0,0,"ModelChara#447",100,30,0,0,0,"Obedient",0,0,0,8,204,False,True,True,False,False,0,,True,4425,1018,True,0,20,445,35,360,30,"Critter",634,2
30,"têtard géant",0,"têtards géants",0,0,1,0,0,"ModelChara#448",100,30,0,0,0,"Independent",0,0,0,8,24,True,False,False,False,False,0,,True,4426,1019,True,0,20,495,13,30,20,"Critter",607,2
31,"puk potelé",0,"puks potelés",0,0,1,0,0,"ModelChara#449",100,20,10,0,0,"Independent",0,0,0,8,25,True,False,False,False,True,0,,True,4427,1020,True,0,15,460,23,30,20,"Monster",606,2
32,"bufflon",0,"bufflons",0,0,1,0,0,"ModelChara#450",100,30,0,0,0,"Independent",0,0,0,8,26,True,False,True,False,True,0,,True,4428,1021,True,0,10,440,9,0,20,"Critter",620,2
33,"mini-pampa",0,"mini-pampas",0,0,1,0,0,"ModelChara#451",100,20,0,0,20,"Independent",0,0,0,3,27,True,False,True,False,False,0,,True,4429,1022,True,0,10,380,17,0,30,"Critter",620,2
34,"coquépique",0,"coquépiques",0,0,1,1,0,"ModelChara#452",100,30,0,0,0,"Independent",0,0,0,8,28,True,False,True,False,False,0,,True,4430,1023,True,0,10,420,28,120,20,"Critter",605,2
35,"bébé chacal",0,"bébés chacals",0,0,1,0,0,"ModelChara#453",100,10,10,0,0,"Independent",0,0,0,8,29,True,False,True,True,True,19,"ui/icon/000000/000001.tex",True,4450,1024,True,0,15,385,11,360,20,"Poppet",617,1
36,"œil apprivoisé",0,"yeux apprivoisés",0,1,1,0,0,"ModelChara#454",100,30,0,0,0,"Independent",0,0,0,8,30,True,False,False,True,True,0,,True,4431,1024,True,0,10,440,1,30,20,"Critter",613,2
37,"dodu dodo",0,"dodu dodo",0,0,1,0,0,"ModelChara#455",100,20,10,0,30,"Independent",0,0,0,8,31,True,False,False,False,True,0,,True,4432,1025,True,0,25,500,39,0,20,"Monster",620,2
