key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,Description,Description{Enhanced},Tooltip,SpecialAction{Name},SpecialAction{Description},Attack,Defense,Speed,HasAreaAttack,Strength{Gate},Strength{Eye},Strength{Shield},Strength{Arcana},MinionSkillType
int32,str,str,str,str,str,byte,byte,byte,bit&01,bit&02,bit&04,bit&08,bit&10,MinionSkillType
0,"","","","","",100,100,3,False,False,False,False,False,""
1,"Du rufst deinen Kirschbomber als Begleiter herbei. Garantie gegen Selbstzerstöung, ansonsten Gil zurück.","Um die weißglühenden Temperaturen in ihren Kernen aufrechtzuerhalten, verschlingen die Bomber so gut wie jedes brennbare Material, einschließlich Holz, Kohle, Feuerkristalle und sogar Drachenpfeffer.","Bald ist eure Zeit zur Explosion gekommen! Hihi! Das wird schön ...
<Emphasis>Ba Go, Akolyth des 789. Ordens</Emphasis>","Selbstzerstörung","Führt eine Attacke mit Attacke-Wert 300 auf die Gegner in der Nähe aus, aber die ausführenden Trabanten werden weggeschickt.",30,40,2,False,False,True,True,False,"Damage"
2,"Du rufst deine Marionette Nr. 001 als Begleiter herbei. Eine voll funktionstüchtige Puppe, die in Zusammenarbeit der Alchemisten mit der Gold<SoftHyphen/>schmiede<SoftHyphen/>gilde erschaffen wurde.","Das Standardmodell 001 ist nicht nur ein Verkaufs-
schlager, sondern auch die Vorlage, auf der alle anderen Uhrwerk-Diener basieren.","Marionetten haben auch Gefühle.
<Emphasis>Serendipity</Emphasis>","Demontage","Entfernt eine vom Gegner aufgestellte Falle.",25,45,1,False,True,True,False,True,"Disarming"
3,"Du rufst dein Chocobo-Küken als Begleiter herbei. Solange es seine Mutter nicht findet, musst du als Ersatz herhalten.","Selbst wenn dieser Waisenvogel zufällig auf seine Eltern träfe, würde er sie höchst<SoftHyphen/>wahr<SoftHyphen/>scheinlich nicht zur Kenntnis nehmen. Schließlich ist bekannt, dass Chocobos das erste Lebewesen, das sie erblicken, als ihre Mutter annehmen -
und das wärest somit du.","Ein wilder Bengel, aber er ist der Stolz unseres Gestüts.
<Emphasis>Keitha</Emphasis>","Chocoboogie","Fügt Gegnern in der Nähe eine Schwäche gegen Tiere zu.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Dauer:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 15 Sekunden",60,30,3,False,True,True,False,False,"Enfeeblement"
4,"Du rufst deine Cait Sith-Puppe als Begleiter herbei. Der extra lange Schwanz hilft dem Kätzchen dabei, das Gleichgewicht zu halten.","Die Uhrwerk-Ausgabe eines schillernden Katzengeistes aus der Mythologie der Wiesländer. Die Gildenmeisterin der Goldschmiede, Serendipity, hat diese lebensechte Figur angefertigt, um den Kindern, die durch die Katastrophe
zu Waisen wurden, eine
Freude zu machen.","Im Kämpfen war ich immer eine Niete.
<Emphasis>Cait Sith</Emphasis>","Spielzeugsoldat","Erhöht die Technikpunkte eigener Trabanten in der Nähe um 10, außer wenn sie ebenfalls diesen Effekt verursachen können.",55,65,2,False,True,False,True,False,"Enhancement"
5,"Du rufst deinen Baby-Behemoth als Begleiter herbei. Hoffentlich sucht seine Mutter nicht schon nach ihm.","Da sie auf dem Saphirstraßenmarkt für nicht mehr als eine Handvoll Gil feilgeboten wird, ist die Abstammung dieser kleinen Bestie äußerst fraglich. Sie trägt zwar Züge, die einem Behemoth ähneln, aber ihr ständiges Gequieke
erinnert dann doch eher
an ein Wildschweinchen.","Tja, so läuft's halt manchmal im Leben. Mal verspeist
man den Behemoth, und manchmal wird man vom
Behemoth verspeist ...
<Emphasis>Wymond</Emphasis>","Wildes Horn","Führt eine Attacke mit Attacke-Wert 230 auf die Gegner in der Nähe aus.",45,30,3,True,False,False,False,False,"Damage"
6,"Du rufst deine Marionette Nr. 003L als Begleiter herbei. Eine voll funktionstüchtige Puppe, die für den Mahlstrom gebaut wurde.","Diese handgefertigten Marionetten sollten eigentlich als Flaggenträger bei Paraden des Mahlstroms dienen. Sie wurden jedoch schnell wieder außer Dienst gestellt, da aufgrund ihrer kleinen Statur niemand die
Flaggen sehen konnte.","Marionetten haben auch Gefühle.
<Emphasis>Serendipity</Emphasis>","Mahlstrom-Standarte","Verringert die ABW von Gegnern in der Nähe um 50 %.
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>Dauer:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 15 Sekunden",30,45,1,False,True,False,True,True,"Enfeeblement"
7,"Du rufst deine Marionette Nr. 003G als Begleiter herbei. Eine voll funktionstüchtige Puppe, die für die Bruderschaft der Morgenviper gebaut wurde.","Diese handgefertigten Marionetten sollten eigentlich als Flaggenträger bei Paraden der Bruderschaft der Morgenviper dienen. Sie wurden jedoch schnell wieder außer Dienst gestellt, da aufgrund ihrer kleinen Statur niemand die
Flaggen sehen konnte.","Marionetten haben auch Gefühle.
<Emphasis>Serendipity</Emphasis>","Bruderschafts-Standarte","Erhöht die Technikpunkte eigener Trabanten in der Nähe um 10, außer wenn sie ebenfalls diesen Effekt verursachen können.",35,55,1,True,True,False,False,True,"Enhancement"
