key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,Description,Description{Enhanced},Tooltip,SpecialAction{Name},SpecialAction{Description},Attack,Defense,Speed,HasAreaAttack,Strength{Gate},Strength{Eye},Strength{Shield},Strength{Arcana},MinionSkillType
int32,str,str,str,str,str,byte,byte,byte,bit&01,bit&02,bit&04,bit&08,bit&10,MinionSkillType
0,"","","","","",100,100,3,False,False,False,False,False,""
1,"Vous appelez votre mascotte bombino, un bombo miniature créé par la fusion occulte d'énergies éthérées et ombrales. Garanti sans explosion ou remboursé.","Un bébé bombo mis au monde ar<SoftHyphen/>ti<SoftHyphen/>fi<SoftHyphen/>ciellement par une technique d'alchimie de pointe. Cette entité de gaz venue du néant engloutit avec délectation charbon, céruleum et cristaux de feu. Garanti sans explosion ou remboursé.","Tchik tchik tchik...","Auto-destruction","Inflige des dégâts d'attaque 300 aux ennemis dans l'aire d'effet. Les mascottes qui ont utilisé des PdT sont au<SoftHyphen/>to<SoftHyphen/>ma<SoftHyphen/>ti<SoftHyphen/>que<SoftHyphen/>ment renvoyées.",30,40,2,False,False,True,True,False,"Damage"
2,"Vous appelez votre mascotte pantin P001, une marionnette mécanique fabriquée con<SoftHyphen/>join<SoftHyphen/>te<SoftHyphen/>ment par les guildes des alchimistes et des orfèvres.","La guilde des orfèvres a sollicité l'aide de celle des alchimistes pour développer cet automate magique destiné au grand public. Le modèle P001 propose des fonctions de base et a été décliné en divers sous-modèles spécialisés.","Dzi-zz... Dz-zz-zi<Indent/>! Tout neuf, tout beau<Indent/>!","Démontage","Enlève un piège mis en place par l'ennemi.",25,45,1,False,True,True,False,True,"Disarming"
3,"Vous appelez votre mascotte bébé chocobo, un jeune chocobo qui vous prend pour sa mère.","Ce minuscule chocobo trottine à bonne allure. Encore tout jeune, il vous prend pour sa mère et vous suit partout. S'il conserve sa coquille sur lui après éclosion, c'est parce qu'il a voulu imiter votre armure.","Kwéééé<Indent/>!","Chocodanse","Ajoute le type “Créature” aux points faibles des ennemis dans l'aire d'effet.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Durée<Indent/>:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 15s",60,30,3,False,True,True,False,False,"Enfeeblement"
4,"Vous appelez votre mascotte poupée Cait Sith, un pantin créé sur le modèle du célèbre félin. Sa queue lui permet de rester toujours en équilibre sur ses pattes arrières.","Le chat du folklore hyurois est représenté ici sous la forme d'un automate. Serendipity, maître de la guilde des orfèvres, a conçu cette poupée mécanique à l'intention des orphelins du Fléau, lui donnant un toucher de peluche.","<Indent/>.<Indent/>.<Indent/>.<Indent/>.<Indent/>. ","Petit soldat","Augmente de 10 les PdT des mascottes dans l'aire d'effet, si elles n'en ont pas utilisé. Les mascottes dont la technique a le même effet ne sont pas concernées.",55,65,2,False,True,False,True,False,"Enhancement"
5,"Vous appelez votre mascotte bébéhémoth. Étonnamment adorable, ce petit béhémoth grogne comme un marcassin. Il faut espérer que sa mère ne viendra pas le chercher...","Vendu par un marchand uldien comme progéniture de la célèbre créature, ce petit animal violet grogne comme un marcassin et possède une crinière noire et des cornes saillantes. Vous aimeriez voir à quoi ressemblent ses parents...","Gruic gruiiic<Indent/>!","Corne sauvage","Inflige des dégâts d'attaque 230 aux ennemis dans l'aire d'effet.",45,30,3,True,False,False,False,False,"Damage"
6,"Vous appelez votre mascotte pantin P003L, un automate conçu spé<SoftHyphen/>cia<SoftHyphen/>le<SoftHyphen/>ment pour amuser les unités du Maelstrom lors de leurs moments perdus.","Un pantin officiel du Maelstrom. Programmé pour servir de porte-drapeau lors des parades officielles, il arbore la bannière de la compagnie avec zèle. Mais sa petite taille affecte fortement sa visibilité.","Longue vie à l'Amirale<Indent/>! Dzz<Indent/>!","Étendard du Maelstrom","Réduit de 50% la défense des ennemis dans l'aire d'effet.
<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Durée<Indent/>:<UIGlow>01</UIGlow><UIForeground>01</UIForeground> 15s",30,45,1,False,True,False,True,True,"Enfeeblement"
7,"Vous appelez votre mascotte pantin P003G, un automate conçu spé<SoftHyphen/>cia<SoftHyphen/>le<SoftHyphen/>ment pour amuser les unités de l'ordre des Deux Vipères lors de leurs moments perdus.","Un pantin officiel de l'ordre des Deux Vipères. Programmé pour servir de porte-drapeau lors des parades officielles, il arbore la bannière de la compagnie avec zèle. Mais sa petite taille affecte fortement sa visibilité.","Longue vie à notre Oracle<Indent/>! Dzz<Indent/>!","Étendard des Deux Vipères","Augmente de 10 les PdT des mascottes dans l'aire d'effet, si elles n'en ont pas utilisé. Les mascottes dont la technique a le même effet ne sont pas concernées.",35,55,1,True,True,False,False,True,"Enhancement"
