key,0,1
#,Icon,Name
int32,Image,str
0,,""
1,"ui/icon/062000/062501.tex","Söldner"
2,"ui/icon/062000/062510.tex","Minenarbeiter"
3,"ui/icon/062000/062511.tex","Gärtner"
4,"ui/icon/062000/062512.tex","Fischer"
5,"ui/icon/062000/062502.tex","Zimmerer"
6,"ui/icon/062000/062503.tex","Grobschmied"
7,"ui/icon/062000/062504.tex","Plattner"
8,"ui/icon/062000/062505.tex","Goldschmied"
9,"ui/icon/062000/062506.tex","Gerber"
10,"ui/icon/062000/062507.tex","Weber"
11,"ui/icon/062000/062508.tex","Alchemist"
12,"ui/icon/062000/062509.tex","Gourmet"
13,"ui/icon/061000/061461.tex","Der Mahlstrom"
14,"ui/icon/061000/061462.tex","Bruderschaft der Morgenviper"
15,"ui/icon/061000/061463.tex","Legion der Unsterblichen"
