key,0,1
#,Icon,Name
int32,Image,str
0,,""
1,"ui/icon/062000/062501.tex","Mercenariat"
2,"ui/icon/062000/062510.tex","Mineur"
3,"ui/icon/062000/062511.tex","Botaniste"
4,"ui/icon/062000/062512.tex","Pêcheur"
5,"ui/icon/062000/062502.tex","Menuisier"
6,"ui/icon/062000/062503.tex","Forgeron"
7,"ui/icon/062000/062504.tex","Armurier"
8,"ui/icon/062000/062505.tex","Orfèvre"
9,"ui/icon/062000/062506.tex","Tanneur"
10,"ui/icon/062000/062507.tex","Couturier"
11,"ui/icon/062000/062508.tex","Alchimiste"
12,"ui/icon/062000/062509.tex","Cuisinier"
13,"ui/icon/061000/061461.tex","Le Maelstrom"
14,"ui/icon/061000/061462.tex","L'ordre des Deux Vipères"
15,"ui/icon/061000/061463.tex","Les Immortels"
