key,0,1,2
#,Description,Description{Enhanced},Tooltip
int32,str,str,str
0,"","",""
1,"Vous appelez le chocobo de bataille que votre grande compagnie vous a alloué.","Les grandes compagnies se fournissent auprès des meilleurs haras ishgardais pour obtenir leurs montures. Les roussins sont destinés aux soldats de taille moyenne, les robustes destriers aux Roegadyns, et les petits genets belahdiens
aux Lalafells.","Kwé<Indent/>!"
2,"","",""
3,"","",""
4,"La corne de forme étrange que vous a donnée le ménestrel errant vous permet d'appeler un énorme goobbue.","Le ménestrel errant vous a offert en gage de recon<SoftHyphen/>nais<SoftHyphen/>san<SoftHyphen/>ce une corne magique permettant d'appeler un goobbue. Ces animaux ne sont généralement pas dociles, mais celui-ci est semble-t-il un mélomane qui a suivi le barde
durant ses voyages dans tout
Éorzéa, charmé par sa musique.","(bâillement)"
5,"Le ravage du continent par le Fléau et cinq longues années n'ont pas réussi à affecter ce courageux animal. Il sera à vos côtés d'un simple coup de sifflet.","Vous ne pensiez pas revoir votre chère monture après votre saut dans l'avenir. C'était sans compter sur la fidélité et la ténacité de votre chocobo, qui a su vous retrouver après avoir erré cinq ans sans jamais accepter d'autre maître.","Kwéé<Indent/>!!"
6,"Vous pouvez appeler à vous une armure magitek, qui a été modifiée par les ingénieurs des Forges de Garlond sous la direction de Cid.","Une armure magitek impériale de type faucheuse. Cid et ses ingénieurs l'ont modifiée, en incorporant notamment un noyau magnétique similaire à ceux utilisés dans la fabrication des pantins.","Identification en cours..."
7,"","",""
8,"Vous pouvez appeler un coeurl de combat, entraîné depuis son plus jeune âge pour voir en vous un<If(PlayerParameter(4))>e<Else/></If> ami<If(PlayerParameter(4))>e<Else/></If>... et non pas de la nourriture.","À l'état sauvage, ces félins sont redoutés pour leur incroyable rapidité et leur férocité. Mais au Proche-Orient, dont ils sont originaires, ils sont dressés grâce à des méthodes par<SoftHyphen/>ti<SoftHyphen/>cu<SoftHyphen/>liè<SoftHyphen/>res inconnues des Éorzéens et sont utilisés comme monture. Le vôtre aurait été élevé à Thavnair.","(feulement)"
9,"Vous appelez votre monture ahriman, une entité entraînée pour garder toujours l'œil sur vous.","Le néant est une dimension par nature méconnue, mais les savants s'accordent généralement pour hiérarchiser les créatures qui l'habitent sur douze rangs. Les ahrimans feraient partie du cinquième.","(regard fixe)"
10,"","",""
