key,0,1
#,Name,Description
int32,str,str
0,"",""
1,"A Cold Wind","Échange au Gold Saucer"
2,"Wailers And Waterwheels","En vente à Gridania"
3,"I Am the Sea","En vente à Limsa Lominsa"
4,"A New Hope","En vente à Ul'dah"
5,"Solid","En vente à Ishgard"
6,"The Waking Sands","En vente dans le Thanalan"
7,"Four-sided Circle","Échange au Gold Saucer"
8,"Sport of Kings","Échange au Gold Saucer"
9,"Another Round","Synthèse (matériau principal échangé notamment au Mor Dhona)"
10,"Painted Foothills","Synthèse (matériau principal obtenu sur une cible d'élite de l'Avant-pays dravanien)"
11,"Lost in the Clouds","Synthèse (matériau principal obtenu sur une cible d'élite de L'Écume des cieux d'Abalathia)"
12,"Prelude – Discoveries","Haut fait ""Mélomane mécanique I"""
13,"Agent of Inquiry","Échange au Gold Saucer"
14,"The Only Path","Synthèse (matériau principal obtenu via la chasse au trésor)"
15,"A World Apart","Synthèse (matériau principal obtenu via les expéditions en aéronef)"
16,"Pa-Paya","Récompense d'événement saisonnier"
17,"Tenacity","Échange à Ishgard"
18,"Blood for Blood","Synthèse (matériau principal échangé à l'Antre des loups)"
19,"Starved","Synthèse (matériau principal échangé à l'Antre des loups)"
20,"Riptide","Synthèse (matériau principal obtenu à Sastasha (brutal))"
21,"Dark Vows","Synthèse (matériau principal obtenu à l'Hypogée de Tam-Tara (normal ou brutal))"
22,"The Dark's Embrace","Synthèse (matériau principal obtenu aux Mines de Clochecuivre (brutal))"
23,"A Light in the Storm","Synthèse (matériau principal obtenu au Phare de Sirius)"
24,"Imagination","Synthèse (matériau principal obtenu au Laboratoire de magismologie)"
25,"Down the Up Staircase","Synthèse (matériau principal obtenu à l'Antitour)"
26,"The Scars of Battle","Synthèse (matériau principal obtenu dans les Vestiges de la cité d'Amdapor)"
27,"Torn from the Heavens","Échange au Gold Saucer"
28,"Ultima","Haut fait ""Mélomane mécanique II"""
29,"The Maker's Ruin","Synthèse (matériau principal obtenu dans un défi du ménestrel errant dans A Realm Reborn)
* Meilleures chances d'obtention au niveau d'objet minimum"
30,"Primal Judgment","Synthèse (matériau principal obtenu dans le défi ""Le Cratère des tisons (extrême)"")
* Meilleures chances d'obtention au niveau d'objet minimum"
