key,0,1,2,3,4
#,Name,HideOrder,Icon,Order,
int32,str,byte,Image,byte,bit&01
0,"",0,,0,False
1,"Alle",0,,0,False
2,"Orte I",0,"ui/icon/082000/082022.tex",1,False
3,"Dungeons",0,"ui/icon/082000/082024.tex",3,False
4,"Primae",0,"ui/icon/082000/082027.tex",4,False
5,"Raids I",0,"ui/icon/082000/082025.tex",5,False
6,"Andere",0,"ui/icon/082000/082029.tex",8,False
7,"Saisonales Ereignis",1,"ui/icon/082000/082030.tex",9,False
8,"Online Store oder Bonusgegenstand",1,"ui/icon/082000/082031.tex",10,True
9,"Orte II",0,"ui/icon/082000/082023.tex",2,False
10,"Raids II",0,"ui/icon/082000/082026.tex",6,False
11,"Umgebung",0,"ui/icon/082000/082028.tex",7,False
