key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
#,Model,,,,,,Order,Icon,Transient,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun
int32,uint16,byte,byte,byte,uint16,int16,uint16,Image,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte
0,0,0,0,0,0,-1,0,,"",0,"",0,0,1,0,0
1,2939,1,1,1,2,0,8001,"ui/icon/000000/000001.tex","Ombrelle",0,"Ombrelles",0,1,1,1,0
2,2940,1,1,1,2,1,8002,"ui/icon/000000/000002.tex","Ombrelle d'azur",0,"Ombrelles d'azur",0,1,1,1,0
3,3007,1,1,1,2,2,8003,"ui/icon/000000/000003.tex","Parapluie pourpre laqué",0,"Parapluies pourpres laqués",0,0,1,0,0
4,3008,1,1,1,2,3,8004,"ui/icon/000000/000004.tex","Parapluie mauve laqué",0,"Parapluies mauves laqués",0,0,1,0,0
5,3009,1,1,1,2,4,8005,"ui/icon/000000/000005.tex","Parapluie doré laqué",0,"Parapluies dorés laqués",0,0,1,0,0
6,3010,1,1,1,2,5,8006,"ui/icon/000000/000006.tex","Ombrelle à carreaux bleue",0,"Ombrelles à carreaux bleues",0,1,1,1,0
7,3011,1,1,1,2,6,8007,"ui/icon/000000/000007.tex","Ombrelle à carreaux rouge",0,"Ombrelles à carreaux rouges",0,1,1,1,0
8,3012,1,1,1,2,7,8008,"ui/icon/000000/000008.tex","Ombrelle à carreaux noire",0,"Ombrelles à carreaux noires",0,1,1,1,0
9,3042,2,0,2,0,8,8013,"ui/icon/000000/000100.tex","Ailes angéliques",0,"Ailes angéliques",0,1,1,1,0
10,3169,1,1,1,2,9,8012,"ui/icon/000000/000009.tex","Ombrelle du Gold Saucer",0,"Ombrelles du Gold Saucer",0,1,1,1,0
11,3166,1,1,1,2,10,8009,"ui/icon/000000/000010.tex","Ombrelle bleue à pois",0,"Ombrelles bleue à pois",0,1,1,1,0
12,3167,1,1,1,2,11,8010,"ui/icon/000000/000011.tex","Ombrelle rose à pois",0,"Ombrelles rose à pois",0,1,1,1,0
13,3168,1,1,1,2,12,8011,"ui/icon/000000/000012.tex","Ombrelle vert d'eau à pois",0,"Ombrelles vert d'eau à pois",0,1,1,1,0
14,3286,1,1,1,2,13,8014,"ui/icon/000000/000013.tex","Ombrelle gros minou",0,"Ombrelles gros minou",0,1,1,1,0
15,3287,1,1,1,2,14,8015,"ui/icon/000000/000014.tex","Parapluie Serpent marin de Ronka ?",0,"Parapluies Serpent marin de Ronka ?",0,0,1,0,0
16,3288,1,1,1,2,15,8016,"ui/icon/000000/000015.tex","Parapluie Dalamud",0,"Parapluie Dalamud",0,0,1,0,0
17,3426,2,0,2,0,16,8017,"ui/icon/000000/000100.tex","Ailes d'ange déchu",0,"Ailes d'ange déchu",0,1,1,1,0
18,3427,2,0,2,0,17,8018,"ui/icon/000000/000100.tex","Ailes d'archange",0,"Ailes d'archange",0,1,1,1,0
19,3428,3,0,2,0,18,8019,"ui/icon/000000/000101.tex","Ailes de Diabolos",0,"Ailes de Diabolos",0,1,1,1,0
20,3429,6,0,2,0,19,8020,"ui/icon/000000/000102.tex","Ailes de Pixie",0,"Ailes de Pixie",0,1,1,1,0
21,0,0,0,0,0,0,0,,"",0,"",0,0,0,0,0
22,3431,5,0,2,0,21,8022,"ui/icon/000000/000200.tex","Mirage de lunettes ovales",0,"Mirages de lunettes ovales",0,0,1,0,0
23,3611,1,1,1,2,22,8023,"ui/icon/000000/000016.tex","Ombrelle à dentelle blanche",0,"Ombrelles à dentelle blanche",0,1,1,1,0
24,3612,1,1,1,2,23,8024,"ui/icon/000000/000017.tex","Ombrelle à fleurs bleues",0,"Ombrelles à fleurs bleues",0,1,1,1,0
25,3613,5,0,2,0,24,8025,"ui/icon/000000/000201.tex","Mirage de lunettes teintées",0,"Mirages de lunettes teintées",0,0,1,0,0
26,3614,7,0,2,0,25,8026,"ui/icon/000000/000202.tex","Mirage de lunettes classiques",0,"Mirages de lunettes classiques",0,0,1,0,0
27,0,0,0,0,0,0,0,,"",0,"",0,0,0,0,0
28,3702,6,0,2,0,27,8028,"ui/icon/000000/000102.tex","Ailes de Pixie bleues",0,"Ailes de Pixie bleues",0,1,1,1,0
29,0,0,0,0,0,0,0,,"",0,"",0,0,0,0,0
30,0,0,0,0,0,0,0,,"",0,"",0,0,0,0,0
