key,0,1,2,3,4,5,6,7,8,9
#,Name,,Name{NoArticle},,,,,,,
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,byte
0,"",0,"",0,0,1,0,0,"",0
1,"",0,"",0,0,0,0,0,"",0
2,"",0,"",0,0,0,0,0,"",0
3,"",0,"",0,0,0,0,0,"",0
4,"",0,"",0,0,0,0,0,"",0
5,"",0,"",0,0,0,0,0,"",0
6,"",0,"",0,0,0,0,0,"",0
7,"",0,"",0,0,0,0,0,"",0
8,"",0,"",0,0,0,0,0,"",0
9,"",0,"",0,0,0,0,0,"",0
10,"",0,"",0,0,0,0,0,"",0
11,"",0,"",0,0,0,0,0,"",0
12,"",0,"",0,0,0,0,0,"",0
13,"",0,"",0,0,0,0,0,"",0
14,"",0,"",0,0,0,0,0,"",0
15,"",0,"",0,0,0,0,0,"",0
16,"",0,"",0,0,0,0,0,"",0
17,"",0,"",0,0,0,0,0,"",0
18,"Freibrief",0,"",0,0,1,0,0,"",0
19,"",0,"",0,0,1,0,0,"",0
20,"Hydaelyn",0,"",0,0,1,0,0,"",0
21,"Eorzea",0,"",0,0,1,0,0,"<Switch(IntegerParameter(1))><Case(1)>nach Eorzea</Case><Case(2)>in Eorzea</Case></Switch>",0
22,"La Noscea",0,"",0,0,1,0,0,"<Switch(IntegerParameter(1))><Case(1)>nach La Noscea</Case><Case(2)>in La Noscea</Case></Switch>",0
23,"Finsterwald",0,"",0,0,1,0,0,"<Switch(IntegerParameter(1))><Case(1)>zum Finsterwald</Case><Case(2)>im Finsterwald</Case></Switch>",0
24,"Thanalan",0,"",0,0,1,0,0,"<Switch(IntegerParameter(1))><Case(1)>nach Thanalan</Case><Case(2)>in Thanalan</Case></Switch>",0
25,"Coerthas",0,"",0,0,1,0,0,"<Switch(IntegerParameter(1))><Case(1)>nach Coerthas</Case><Case(2)>in Coerthas</Case></Switch>",0
26,"Mor Dhona",0,"",0,0,1,0,0,"<Switch(IntegerParameter(1))><Case(1)>nach Mor Dhona</Case><Case(2)>in Mor Dhona</Case></Switch>",0
27,"Limsa Lominsa",0,"",0,0,1,0,0,"<Switch(IntegerParameter(1))><Case(1)>nach Limsa Lominsa</Case><Case(2)>in Limsa Lominsa</Case></Switch>",0
28,"Obere Decks",0,"",0,0,1,0,0,"<Switch(IntegerParameter(1))><Case(1)>zu den Oberen Decks</Case><Case(2)>in den Oberen Decks</Case></Switch>",0
29,"Untere Decks",0,"",0,0,1,0,0,"<Switch(IntegerParameter(1))><Case(1)>zu den Unteren Decks</Case><Case(2)>in den Unteren Decks</Case></Switch>",0
30,"Zentrales La Noscea",0,"",0,0,1,0,0,"<Switch(IntegerParameter(1))><Case(1)>ins untere La Noscea</Case><Case(2)>im unteren La Noscea</Case></Switch>",0
31,"Unteres La Noscea",0,"",0,0,1,0,0,"<Switch(IntegerParameter(1))><Case(1)>ins untere La Noscea</Case><Case(2)>im unteren La Noscea</Case></Switch>",0
32,"Östliches La Noscea",0,"",0,0,1,0,0,"<Switch(IntegerParameter(1))><Case(1)>ins östliche La Noscea</Case><Case(2)>im östlichen La Noscea</Case></Switch>",0
33,"Westliches La Noscea",0,"",0,0,1,0,0,"<Switch(IntegerParameter(1))><Case(1)>ins westliche La Noscea</Case><Case(2)>im westlichen La Noscea</Case></Switch>",0
34,"Oberes La Noscea",0,"",0,0,1,0,0,"<Switch(IntegerParameter(1))><Case(1)>ins obere La Noscea</Case><Case(2)>im oberen La Noscea</Case></Switch>",0
35,"Sastasha-Höhle",0,"",0,0,1,0,0,"<Switch(IntegerParameter(1))><Case(1)>zur Sastasha-Höhle</Case><Case(2)>in der Sastasha-Höhle</Case><Case(3)>die Sastasha-Höhle</Case></Switch>",0
36,"Brüllvolx' Langrast",0,"",0,0,1,0,0,"<Switch(IntegerParameter(1))><Case(1)>zu Brüllvolx' Langrast</Case><Case(2)>an Brüllvolx' Langrast</Case><Case(3)>Brüllvolx' Langrast</Case></Switch>",0
