key,0,1,2,3,4,5,6,7,8,9
#,Name,,Name{NoArticle},,,,,,,
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,byte
0,"",0,"",0,0,1,0,0,"",0
1,"",0,"",0,0,0,0,0,"",0
2,"",0,"",0,0,0,0,0,"",0
3,"",0,"",0,0,0,0,0,"",0
4,"",0,"",0,0,0,0,0,"",0
5,"",0,"",0,0,0,0,0,"",0
6,"",0,"",0,0,0,0,0,"",0
7,"",0,"",0,0,0,0,0,"",0
8,"",0,"",0,0,0,0,0,"",0
9,"",0,"",0,0,0,0,0,"",0
10,"",0,"",0,0,0,0,0,"",0
11,"",0,"",0,0,0,0,0,"",0
12,"",0,"",0,0,0,0,0,"",0
13,"",0,"",0,0,0,0,0,"",0
14,"",0,"",0,0,0,0,0,"",0
15,"",0,"",0,0,0,0,0,"",0
16,"",0,"",0,0,0,0,0,"",0
17,"",0,"",0,0,0,0,0,"",0
18,"Mandat",0,"Mandat",0,0,1,0,0,"",0
19,"",0,"",0,0,1,0,0,"",0
20,"Hydaelyn",0,"Hydaelyn",0,0,1,0,0,"<Switch(IntegerParameter(1))><Case(1)>Hydaelyn</Case><Case(2)>sur Hydaelyn</Case><Case(3)>d'Hydaelyn</Case></Switch>",0
21,"Éorzéa",0,"Éorzéa",0,0,1,0,0,"<Switch(IntegerParameter(1))><Case(1)>Éorzéa</Case><Case(2)>en Éorzéa</Case><Case(3)>d'Éorzéa</Case></Switch>",0
22,"Noscea",0,"Noscea",0,0,1,0,0,"<Switch(IntegerParameter(1))><Case(1)>la Noscea</Case><Case(2)>dans la Noscea</Case><Case(3)>de la Noscea</Case></Switch>",0
23,"Forêt de Sombrelinceul",0,"Forêt de Sombrelinceul",0,0,1,0,0,"<Switch(IntegerParameter(1))><Case(1)>la forêt de Sombrelinceul</Case><Case(2)>à la forêt de Sombrelinceul</Case><Case(3)>de la forêt de Sombrelinceul</Case></Switch>",0
24,"Thanalan",0,"Thanalan",0,0,1,0,0,"<Switch(IntegerParameter(1))><Case(1)>le Thanalan</Case><Case(2)>dans le Thanalan</Case><Case(3)>du Thanalan</Case></Switch>",0
25,"Coerthas",0,"Coerthas",0,0,1,0,0,"<Switch(IntegerParameter(1))><Case(1)>le Coerthas</Case><Case(2)>dans le Coerthas</Case><Case(3)>du Coerthas</Case></Switch>",0
26,"Mor Dhona",0,"Mor Dhona",0,0,1,0,0,"<Switch(IntegerParameter(1))><Case(1)>le Mor Dhona</Case><Case(2)>dans le Mor Dhona</Case><Case(3)>du Mor Dhona</Case></Switch>",0
27,"Limsa Lominsa",0,"Limsa Lominsa",0,0,1,0,0,"<Switch(IntegerParameter(1))><Case(1)>Limsa Lominsa</Case><Case(2)>à Limsa Lominsa</Case><Case(3)>de Limsa Lominsa</Case></Switch>",0
28,"Limsa Lominsa - Le Tillac",0,"Limsa Lominsa - Le Tillac",0,0,1,0,0,"<Switch(IntegerParameter(1))><Case(1)>Limsa Lominsa - Le Tillac</Case><Case(2)>à Limsa Lominsa - Le Tillac</Case><Case(3)>de Limsa Lominsa - Le Tillac</Case></Switch>",0
29,"Limsa Lominsa - L'Entrepont",0,"Limsa Lominsa - L'Entrepont",0,0,1,0,0,"<Switch(IntegerParameter(1))><Case(1)>Limsa Lominsa - L'Entrepont</Case><Case(2)>à Limsa Lominsa - L'Entrepont</Case><Case(3)>de Limsa Lominsa - L'Entrepont</Case></Switch>",0
30,"Noscea centrale",0,"Noscea centrale",0,0,1,0,0,"<Switch(IntegerParameter(1))><Case(1)>la Noscea centrale</Case><Case(2)>dans la Noscea centrale</Case><Case(3)>de la Noscea centrale</Case></Switch>",0
31,"Basse-Noscea",0,"Basse-Noscea",0,0,1,0,0,"<Switch(IntegerParameter(1))><Case(1)>la Basse-Noscea</Case><Case(2)>dans la Basse-Noscea</Case><Case(3)>de la Basse-Noscea</Case></Switch>",0
32,"Noscea orientale",0,"Noscea orientale",0,0,1,0,0,"<Switch(IntegerParameter(1))><Case(1)>la Noscea orientale</Case><Case(2)>dans la Noscea orientale</Case><Case(3)>de la Noscea orientale</Case></Switch>",0
