key,0,1,2,3,4,5,6,7,8,9,10,11
#,,,,,,Command,ShortCommand,Description,Alias,ShortAlias,,
int32,byte,byte,sbyte,sbyte,sbyte,str,str,str,str,str,uint16,uint32
1,1,0,0,0,0,"/record","","/visionnage, /visio, /record
Ouvre la fenêtre de visionnage de mission.","/visionnage","/visio",32,0
2,2,1,0,0,0,"/recordready","","/appelenregistrement, /appelenreg, /recordready
Utilisation<Indent/>: /appelenregistrement [sous-commande]
Lance un appel d'enregistrement (ou un appel de préparation à partir de la seconde fois), puis un compte à rebours si tous les équipiers ont répondu ""Oui"".
>> Sous-commande<Indent/>:
""[nombre de secondes entre 5 et 30]"" Définit la durée du compte à rebours.
Si aucune sous-commande n'est spécifiée, ouvre la fenêtre de l'appel d'enregistrement.","/appelenregistrement","/appelenreg",0,0
3,1,0,0,0,0,"/pvpteamcmd","","/fenêtreéquipejcj, /féjcj, /pvpteamcmd
Ouvre la fenêtre Équipe JcJ.","/fenêtreéquipejcj","/féjcj",0,0
4,1,0,0,0,0,"/saddlebag","","/sacochechocobo, /schoc, /chocobobag, /saddlebag
Ouvre la sacoche chocobo.","/sacochechocobo","/schoc",0,0
5,1,0,0,0,0,"/magiaright","","/magiadroite, /magiaright
Fait pivoter le plateau Magia dans le sens des aiguilles d'une montre.
","/magiadroite","",0,0
6,1,0,0,0,0,"/magialeft","","/magiagauche, /magialeft
Fait pivoter le plateau Magia dans le sens inverse des aiguilles d'une montre.
","/magiagauche","",0,0
7,1,0,0,0,0,"/cwlinkshellcmd","/cwlcmd","/lsimcom, /cwlinkshellcmd
Ouvre le menu de la linkshell inter-Monde.","/lsimcom","",0,0
8,3,1,17,0,0,"/quickchat","/qchat","'/expressionfigée, /exfig, /quickchat, /qchat
Affiche une expression figée.
* Uniquement dans The Feast.
Utilisation<Indent/>: /expressionfigée Attaque générale
Affiche l'expression figée Attaque générale.
/exfig Attaque<Indent/>: cible <t>
Affiche l'expression figée Attaque<Indent/>: cible en ajoutant le nom de l'ennemi ciblé.","/expressionfigée","/exfig",1021,0
9,4,3,2,18,2,"/bluespellbook","","/grimoiremagiebleue, /gmagiebleue, /bluespellbook
Utilisation<Indent/>: /grimoiremagiebleue [sous-commande]
Permet de modifier les actions actives de magie bleue.
>> Sous-commandes<Indent/>:
set ""Nom d'action de magie bleue"" on    Ajoute le sort de magie bleue au set actif.
set ""Nom d'action de magie bleue"" off    Retire le sort de magie bleue du set actif.
preset ""Numéro du set sauvegardé"" (1 à 5)   Charge le set spécifié par le numéro.
clear    Retire toutes les actions du set actif.
Si aucune sous-commande n'est spécifiée, ouvre le grimoire de magie bleue.

>> Exemples<Indent/>:
/grimoiremagiebleue set Tir d'eau
  Ajoute l'action de magie bleue ""Tir d'eau"" au set actif.
/bluespellbook preset 2
  Charge le set d'actions de magie bleue numéro 2 dans le set actif.","/grimoiremagiebleue","/gmagiebleue",36,0
10,2,1,2,0,0,"/magiaattack","","/magiaoffensif, /magiaattack
Utilisation<Indent/>: /magiaoffensif [argument de ciblage]
Configure le plateau Magia de façon à renforcer l'élément ayant l'avantage sur celui de la cible désignée.
>> Exemple<Indent/>:
/magiaoffensif <t>
  Configure le plateau Magia de façon à renforcer l'élément ayant l'avantage sur celui de la cible actuelle.","/magiaoffensif","",0,0
11,2,1,2,0,0,"/magiadefense","","/magiadéfensif, /magiadefense
Utilisation<Indent/>: /magiadéfensif [argument de ciblage]
Configure le plateau Magia de façon à renforcer l'élément de la cible désignée.
>> Exemple<Indent/>:
/magiadéfensif <t>
  Configure le plateau Magia de façon à renforcer l'élément de la cible actuelle.","/magiadéfensif","",0,0
12,2,1,2,0,0,"/magiaauto","","/magiaauto
Utilisation<Indent/>: /magiaauto [sous-commande]
Active la configuration automatique du plateau Magia en fonction de la cible sé<SoftHyphen/>lec<SoftHyphen/>tion<SoftHyphen/>née, et selon le mode choisi.
>> Sous-commande<Indent/>:
attaque (attack)   Active le mode offensif.
défense (defense)   Active le mode défensif.
off   Désactive la configuration automatique du plateau Magia.
Si aucune sous-commande n'est spécifiée, les différents modes sont activés à tour de rôle.
>> Exemple<Indent/>:
/magiaauto attaque
  Active la configuration automatique du plateau Magia en mode offensif.","/magiaauto","",0,0
13,1,0,0,0,0,"/cwlinkshell1","/cwl1","/linkshellim1, /lsim1, /cwlinkshell1
Utilisation<Indent/>: /linkshellim1 [message]
Affiche un message visible par tous les membres de la linkshell inter-Monde numéro 1, où qu'ils se trouvent.
""LSIM 1"" devient le mode de discussion par défaut si /linkshellim1 est utilisé sans message.

>> Exemples<Indent/>:
/linkshellim1 Bonjour<Indent/>!
  Envoie le message ""Bonjour<Indent/>!"" à tous les membres de la linkshell inter-Monde numéro 1.
/lsim1 
  ""LSIM 1"" devient le mode de discussion par défaut.","/linkshellim1","/lsim1",1021,0
14,1,0,0,0,0,"/cwlinkshell2","/cwl2","/linkshellim2, /lsim2, /cwlinkshell2
Utilisation<Indent/>: /linkshellim2 [message]
Affiche un message visible par tous les membres de la linkshell inter-Monde numéro 2, où qu'ils se trouvent.
""LSIM 2"" devient le mode de discussion par défaut si /linkshellim2 est utilisé sans message.

>> Exemples<Indent/>:
/linkshellim2 Bonjour<Indent/>!
  Envoie le message ""Bonjour<Indent/>!"" à tous les membres de la linkshell inter-Monde numéro 2.
/lsim2 
  ""LSIM 2"" devient le mode de discussion par défaut.","/linkshellim2","/lsim2",1021,0
15,1,0,0,0,0,"/cwlinkshell3","/cwl3","/linkshellim3, /lsim3, /cwlinkshell3
Utilisation<Indent/>: /linkshellim3 [message]
Affiche un message visible par tous les membres de la linkshell inter-Monde numéro 3, où qu'ils se trouvent.
""LSIM 3"" devient le mode de discussion par défaut si /linkshellim3 est utilisé sans message.

>> Exemples<Indent/>:
/linkshellim3 Bonjour<Indent/>!
  Envoie le message ""Bonjour<Indent/>!"" à tous les membres de la linkshell inter-Monde numéro 3.
/lsim3 
  ""LSIM 3"" devient le mode de discussion par défaut.","/linkshellim3","/lsim3",1021,0
