key,0,1,2,3,4,5,6
#,Name,Description,,,,,
int32,str,str,byte,byte,bit&01,byte,int32
0,"","",0,0,False,0,0
1,"Zufällig","Bei Beginn der Partie wird zufällig eine Ergänzungsregel ausgewählt.",0,0,False,0,0
2,"Alle offen","Beide Spieler spielen komplett mit offenen Karten.",3,0,False,0,1000
3,"Drei offen","Bei Spielbeginn werden drei zufällig ausgewählte Karten aufgedeckt, zwei bleiben dem Gegner verborgen.",2,0,False,0,1166
4,"Gleich","Wird eine Karte gelegt, die auf zwei oder mehr Seiten den gleichen Wert wie die angrenzenden Karten hat, gewinnt die gelegte Karte gegen alle diese Karten.",0,0,False,0,666
5,"Verlängerung","Bei einem Unentschieden wird automatisch eine neue Partie gestartet.",0,0,True,0,1333
6,"Plus","Wird eine Karte gelegt, die auf zwei oder mehr Seiten addiert mit der angrenzenden Karte die gleichen Summen aufweist, gewinnt die gelegte Karte gegen alle diese angrenzenden Karten.",0,0,False,0,666
7,"Zufallshand","Beide Spieler erhalten eine zufällige Auswahl unter den Karten in ihrem Besitz als Deck und können keine im Voraus erstellten Decks auswählen.",15,0,True,0,1000
8,"Ordnung","Die Karten müssen in der Reihenfolge des Decks gespielt werden.",9,15,False,0,1666
9,"Chaos","Die Karten müssen in einer zufällig festgelegten Reihenfolge gespielt werden.",8,0,False,0,1433
10,"Umkehrung","Es gewinnt immer die Karte mit dem niedrigeren Wert.",0,0,False,0,1000
11,"Assfresser","Asse („A“) können von Einsen geschlagen werden.",0,0,False,0,666
12,"Bonus","Jede Fraktionskarte erhält einen Bonus, der sich für jede weitere Karte der gleichen Fraktion auf dem Spielfeld erhöht.",13,0,False,0,1000
13,"Malus","Jede Fraktionskarte erhält einen Malus, der sich für jede weitere Karte der gleichen Fraktion auf dem Spielfeld erhöht.",12,0,False,0,1000
14,"Tauschen","Zu Beginn einer Partie wird eine zufällig bestimmte Karte mit dem Gegner getauscht.",0,0,False,0,1666
15,"Improvisation","Beide Spieler stellen sich aus einer zufälligen Kartenauswahl ein Deck zusammen.",7,8,False,0,1000
