key,0,1,2,3,4,5,6
#,Name,Description,,,,,
int32,str,str,byte,byte,bit&01,byte,int32
0,"","",0,0,False,0,0
1,"Roulette","Choisit une règle de façon aléatoire.",0,0,False,0,0
2,"Toutes sur table","Affiche les cinq cartes des deux adversaires.",3,0,False,0,1000
3,"Trois sur table","Affiche trois cartes choisies aléatoirement dans les mains des deux adversaires.",2,0,False,0,1166
4,"Identique","Retourne les cartes adjacentes dont les chiffres sont similaires sur au moins deux côtés.",0,0,False,0,666
5,"Mort subite","Oblige les duellistes à rejouer en cas d'égalité, et ce jusqu'à ce qu'un vainqueur soit proclamé.",0,0,True,0,1333
6,"Plus","Retourne les cartes adjacentes dont la somme des chiffres donne le même résultat sur au moins deux côtés.",0,0,False,0,666
7,"Aléatoire","Choisit les cartes de façon aléatoire parmi toutes celles possédées.",15,0,True,0,1000
8,"Ordre","Contraint les duellistes à utiliser les cartes dans l'ordre où ils les ont enregistrées dans leur jeu.",9,15,False,0,1666
9,"Chaos","Contraint les duellistes à utiliser les cartes de leur jeu dans un ordre déterminé aléatoirement.",8,0,False,0,1433
10,"Inversion","Inverse la puissance des cartes.",0,0,False,0,1000
11,"Tueur d'as","Rend l'as inférieur au chiffre 1. En mode Inversion, l'as retourne le chiffre 1.",0,0,False,0,666
12,"Bonus","Augmente la puissance des cartes de même famille en fonction du nombre d'entre elles présentes sur le plateau de jeu.",13,0,False,0,1000
13,"Malus","Réduit la puissance des cartes de même famille en fonction du nombre d'entre elles présentes sur le plateau de jeu.",12,0,False,0,1000
14,"Échange","Échange une carte choisie aléatoirement dans le jeu des deux adversaires.",0,0,False,0,1666
15,"Draft","Contraint les duellistes à préparer leur jeu à partir d'une sélection de cartes aléatoire.",7,8,False,0,1000
