key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,Name,Model{Top},Model{Body},Model{Legs},GrandCompany,Icon{Head},Icon{Body},Icon{Legs},Order
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,int32,int32,int32,GrandCompany,Image,Image,Image,byte
0,"Ledersattel",4,"Ledersättel",2,0,1,0,0,"Ledersattel",0,0,0,"None",,,,0
1,"limsisch[a] Sattelzeug",4,"limsisch[a] Sattelzeuge",2,0,1,2,0,"Limsisches Sattelzeug",65538,65541,65538,"Maelstrom","ui/icon/058000/058549.tex","ui/icon/058000/058553.tex","ui/icon/058000/058551.tex",1
2,"leicht[a] limsisch[a] Rossharnisch",4,"leicht[a] limsisch[a] Rossharnische",2,0,1,0,0,"Leichter limsischer Rossharnisch",65542,65542,65542,"Maelstrom","ui/icon/058000/058501.tex","ui/icon/058000/058502.tex","ui/icon/058000/058503.tex",2
3,"limsisch[a] Rossharnisch",4,"limsisch[a] Rossharnische",2,0,1,0,0,"Limsischer Rossharnisch",131078,131078,131078,"Maelstrom","ui/icon/058000/058504.tex","ui/icon/058000/058505.tex","ui/icon/058000/058506.tex",3
4,"schwer[a] limsisch[a] Rossharnisch",4,"schwer[a] limsisch[a] Rossharnische",2,0,1,0,0,"Schwerer limsischer Rossharnisch",196614,196614,196614,"Maelstrom","ui/icon/058000/058507.tex","ui/icon/058000/058508.tex","ui/icon/058000/058509.tex",4
5,"gridanisch[a] Sattelzeug",4,"gridanisch[a] Sattelzeuge",2,0,1,2,0,"Gridanisches Sattelzeug",65538,131077,65538,"Order of the Twin Adder","ui/icon/058000/058549.tex","ui/icon/058000/058556.tex","ui/icon/058000/058551.tex",5
6,"leicht[a] gridanisch[a] Rossharnisch",4,"leicht[a] gridanisch[a] Rossharnische",2,0,1,0,0,"Leichter gridanischer Rossharnisch",65543,65543,65543,"Order of the Twin Adder","ui/icon/058000/058510.tex","ui/icon/058000/058511.tex","ui/icon/058000/058512.tex",6
7,"gridanisch[a] Rossharnisch",4,"gridanisch[a] Rossharnische",2,0,1,0,0,"Gridanischer Rossharnisch",131079,131079,131079,"Order of the Twin Adder","ui/icon/058000/058513.tex","ui/icon/058000/058514.tex","ui/icon/058000/058515.tex",7
8,"schwer[a] gridanisch[a] Rossharnisch",4,"schwer[a] gridanisch[a] Rossharnische",2,0,1,0,0,"Schwerer gridanischer Rossharnisch",196615,196615,196615,"Order of the Twin Adder","ui/icon/058000/058516.tex","ui/icon/058000/058517.tex","ui/icon/058000/058518.tex",8
9,"ul'dhisch[a] Sattelzeug",4,"ul'dhisch[a] Sattelzeug",2,0,1,2,0,"Ul'dhisches Sattelzeug",65538,196613,65538,"Immortal Flames","ui/icon/058000/058549.tex","ui/icon/058000/058559.tex","ui/icon/058000/058551.tex",9
10,"leicht[a] ul'dhisch[a] Rossharnisch",4,"leicht[a] ul'dhisch[a] Rossharnische",2,0,1,0,0,"Leichter ul'dhischer Rossharnisch",65544,65544,65544,"Immortal Flames","ui/icon/058000/058519.tex","ui/icon/058000/058520.tex","ui/icon/058000/058521.tex",10
11,"ul'dhisch[a] Rossharnisch",4,"ul'dhisch[a] Rossharnische",2,0,1,0,0,"Ul'dhischer Rossharnisch",131080,131080,131080,"Immortal Flames","ui/icon/058000/058522.tex","ui/icon/058000/058523.tex","ui/icon/058000/058524.tex",11
12,"schwer[a] ul'dhisch[a] Rossharnisch",4,"schwer[a] ul'dhisch[a] Rossharnische",2,0,1,0,0,"Schwerer ul'dhischer Rossharnisch",196616,196616,196616,"Immortal Flames","ui/icon/058000/058525.tex","ui/icon/058000/058526.tex","ui/icon/058000/058527.tex",12
13,"Paladin-Rossharnisch",4,"Paladin-Rossharnische",2,0,1,0,0,"Paladin-Rossharnisch",65546,65546,65546,"None","ui/icon/058000/058528.tex","ui/icon/058000/058529.tex","ui/icon/058000/058530.tex",13
14,"Dragoon-Rossharnisch",4,"Dragoon-Rossharnische",2,0,1,0,0,"Dragoon-Rossharnisch",65547,65547,65547,"None","ui/icon/058000/058531.tex","ui/icon/058000/058532.tex","ui/icon/058000/058533.tex",14
15,"Weißmagier-Rossharnisch",4,"Weißmagier-Rossharnische",2,0,1,0,0,"Weißmagier-Rossharnisch",65549,65549,65549,"None","ui/icon/058000/058534.tex","ui/icon/058000/058535.tex","ui/icon/058000/058536.tex",15
16,"Sleipnir-Rossharnisch",4,"Sleipnir-Rossharnische",2,0,1,0,0,"Sleipnir-Rossharnisch",65550,65550,65550,"None","ui/icon/058000/058537.tex","ui/icon/058000/058538.tex","ui/icon/058000/058539.tex",171
17,"Behemoth-Rossharnisch",4,"Behemoth-Rossharnische",2,0,1,0,0,"Behemoth-Rossharnisch",65551,65551,65551,"None","ui/icon/058000/058540.tex","ui/icon/058000/058541.tex","ui/icon/058000/058542.tex",172
18,"Chocobo-Fliegerhaube",3,"Chocobo-Fliegerhauben",1,0,1,1,0,"Chocobo-Fliegerhaube",65555,0,0,"None","ui/icon/058000/058543.tex",,,51
19,"Schwarzmagier-Rossharnisch",4,"Schwarzmagier-Rossharnische",2,0,1,0,0,"Schwarzmagier-Rossharnisch",65548,65548,65548,"None","ui/icon/058000/058546.tex","ui/icon/058000/058547.tex","ui/icon/058000/058548.tex",21
