#,Name,UnlockLink,TextCommand,ActionTimeline[0],ActionTimeline[1],ActionTimeline[2],ActionTimeline[3],ActionTimeline[4],ActionTimeline[5],ActionTimeline[6],Order,Icon,LogMessageTargeted,LogMessageUntargeted,Patch,EmoteCategory,EmoteMode,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,HasCancelEmote,DrawsWeapon,Unknown6
0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,True,True,False,False,False,False,False
1,Überrascht,0,402,689,0,674,674,674,0,0,5015,64001,100,200,1,1,0,True,True,True,False,True,False,False,False
2,Verärgert,0,403,690,0,639,639,639,0,0,5009,64002,101,201,1,1,0,True,True,True,False,True,False,False,False
3,Zornig,0,404,691,0,664,664,664,0,0,5003,64003,102,202,1,1,0,True,True,True,False,True,False,False,False
4,Erröten,0,405,693,0,0,0,0,0,0,1006,64004,103,203,1,1,0,False,False,False,False,True,False,False,False
5,Verbeugen,0,406,694,0,0,0,0,0,0,1,64005,104,204,1,1,0,False,False,False,False,True,False,False,False
6,Anfeuern,0,407,695,0,675,675,675,0,0,2004,64006,105,205,1,1,0,True,True,True,False,True,False,False,False
7,Klatschen,0,408,696,0,656,645,676,0,0,2002,64007,106,206,1,1,0,True,True,True,False,True,False,False,False
8,Herbeiwinken,0,409,697,0,0,0,0,0,0,5101,64008,107,207,1,1,0,False,False,False,False,True,False,False,False
9,Trösten,0,410,698,0,677,677,677,0,0,1007,64009,108,208,1,1,0,True,True,True,False,True,False,False,False
10,Weinen,0,411,699,0,678,678,678,0,0,5002,64010,109,209,1,1,0,True,True,True,False,True,False,False,False
11,Tanzen,0,412,700,0,0,0,0,0,0,1040,64011,110,210,1,1,0,False,False,False,False,True,False,False,False
12,Beschuldigen,0,413,702,0,0,0,0,0,0,5017,64012,111,211,1,1,0,False,False,False,False,True,False,False,False
13,Müde,0,414,703,0,657,646,679,0,0,5107,64013,112,212,1,1,0,True,True,True,False,True,False,False,False
14,Frustriert,0,415,704,0,0,0,0,0,0,5004,64014,113,213,1,1,0,False,False,False,False,True,False,False,False
15,Tschüs,0,416,705,0,680,680,680,0,0,6,64015,114,214,1,1,0,True,True,True,False,True,False,False,False
16,Winken,0,417,706,0,663,652,681,0,0,7,64016,115,215,1,1,0,True,True,True,False,True,False,False,False
17,Tja,0,418,707,0,660,649,682,0,0,5011,64017,116,216,1,1,0,True,True,True,False,True,False,False,False
18,Freuen,0,419,708,0,683,683,683,0,0,1002,64018,117,217,1,1,0,True,True,True,False,True,False,False,False
19,Knien,0,420,710,0,0,0,0,0,0,8,64019,118,218,1,1,0,False,False,False,False,True,False,False,False
20,Lachen,0,421,711,0,662,651,685,0,0,1000,64020,119,219,1,1,0,True,True,True,False,True,False,False,False
21,Totlachen,0,422,712,0,638,635,686,0,0,1001,64021,120,220,1,1,0,True,True,True,False,True,False,False,False
22,Spähen,0,423,713,0,665,665,665,0,0,5111,64022,121,221,1,1,0,True,True,True,False,True,False,False,False
23,Ich,0,424,715,0,745,745,745,0,0,5113,64023,122,222,1,1,0,True,True,True,False,True,False,False,False
24,Nein,0,425,716,0,666,666,666,0,0,5000,64024,123,223,1,1,0,True,True,True,False,True,False,False,False
25,Niemals,0,426,717,0,746,746,746,0,0,5001,64025,124,224,1,1,0,True,True,True,False,True,False,False,False
26,Panik,0,427,719,0,0,0,0,0,0,5005,64026,125,225,1,1,0,False,False,False,False,True,False,False,False
27,Zeigen,0,428,720,0,687,687,687,0,0,5108,64027,126,226,1,1,0,True,True,True,False,True,False,False,False
28,Anstupsen,0,429,721,0,748,748,748,0,3185,5109,64028,127,227,1,1,0,True,True,True,False,True,False,False,False
29,Super,0,430,723,0,749,749,749,0,0,2003,64029,128,228,1,1,0,True,True,True,False,True,False,False,False
30,Auf geht's,0,431,724,0,0,0,0,0,0,1008,64030,129,229,1,1,0,False,False,False,False,True,False,False,False
31,Salutieren,0,432,725,0,750,750,750,0,0,9,64031,130,230,1,1,0,True,True,True,False,True,False,False,False
32,Schockiert,0,433,729,0,751,751,751,0,0,5012,64032,131,231,1,1,0,True,True,True,False,True,False,False,False
33,Schultern zucken,0,434,730,0,752,752,752,0,0,5013,64033,132,232,1,1,0,True,True,True,False,True,False,False,False
34,Aufmuntern,0,435,731,0,0,0,0,0,0,1004,64034,133,233,1,1,0,False,False,False,False,True,False,False,False
35,Beruhigen,0,436,732,0,753,753,753,0,0,1005,64035,134,234,1,1,0,True,True,True,False,True,False,False,False
36,Torkeln,0,437,733,0,0,0,0,0,0,5014,64036,135,235,1,1,0,False,False,False,False,True,False,False,False
37,Sich strecken,0,438,734,0,588,588,588,0,0,5110,64037,136,236,1,1,0,True,True,True,False,True,False,False,False
38,Schmollen,0,439,735,0,0,0,0,0,0,5008,64038,137,237,1,1,0,False,False,False,False,True,False,False,False
39,Denken,0,440,736,0,589,589,589,0,0,5105,64039,138,238,1,1,0,True,True,True,False,True,False,False,False
40,Na toll,0,441,737,0,670,590,590,0,0,5006,64040,139,239,1,1,0,True,True,True,False,True,False,False,False
41,Willkommen,0,442,738,0,591,591,591,0,0,4,64041,140,240,1,1,0,True,True,True,False,True,False,False,False
42,Ja,0,443,739,0,671,671,671,0,0,2000,64042,141,241,1,1,0,True,True,True,False,True,False,False,False
43,Jawohl,0,444,740,0,592,592,592,0,0,2001,64043,142,242,1,1,0,True,True,True,False,True,False,False,False
44,Sich betrachten,0,445,714,0,744,744,744,0,0,5106,64044,143,243,1,1,0,True,True,True,False,True,False,False,False
45,Posieren,0,446,722,0,0,0,0,0,0,5050,64045,144,244,1,1,0,False,False,False,False,True,False,False,False
46,Kusshand,0,447,692,0,0,0,0,0,0,1020,64049,148,248,1,1,0,False,False,False,False,True,False,False,False
47,Demütig,0,448,701,0,0,0,0,0,0,5018,64051,150,250,1,1,0,False,False,False,False,True,False,False,False
48,Freudentaumel,0,449,709,0,684,684,684,0,0,1003,64052,151,251,1,1,0,True,True,True,False,True,False,False,False
49,Vernichtet,0,450,718,0,668,747,747,0,0,5007,64053,152,252,1,1,0,True,True,True,False,True,False,False,False
50,Sitzen,0,451,643,642,0,0,0,0,0,13001,64056,0,0,1,2,2,False,False,False,False,False,True,False,False
51,Aufstehen,0,0,644,0,0,644,0,0,0,0,64054,0,0,1,2,2,False,False,False,True,False,False,False,False
52,Auf Boden setzen,0,453,654,653,0,0,0,0,0,13002,64054,0,0,1,2,1,False,False,False,False,False,True,False,False
53,Aufstehen,0,0,655,0,655,0,0,0,0,0,64054,0,0,1,2,1,False,False,False,True,False,False,False,False
54,Ironisch,0,455,688,0,673,673,673,0,0,5112,64063,0,0,1,1,0,True,True,True,False,True,False,False,False
55,Mahlstrom-Salut,0,456,726,0,0,0,0,0,0,10,64046,145,245,1,1,0,False,False,False,False,True,False,False,False
56,Bruderschafts-Salut,0,457,727,0,0,0,0,0,0,10,64047,146,246,1,1,0,False,False,False,False,True,False,False,False
57,Legions-Salut,0,458,728,0,0,0,0,0,0,10,64048,147,247,1,1,0,False,False,False,False,True,False,False,False
58,Beten,0,459,742,0,4814,4813,4813,0,0,1009,64064,178,278,1,1,0,True,True,True,False,True,False,False,False
59,Garleischer Salut,23,460,587,0,0,0,0,0,0,11,64066,179,279,1,1,0,False,False,False,False,True,False,False,False
60,Visier,0,461,0,0,0,0,0,0,0,19999,64065,0,0,1,2,0,True,True,True,False,False,False,False,False
61,Visier,0,0,0,0,0,0,0,0,0,0,64065,0,0,1,2,0,True,True,True,False,False,False,False,False
62,Megaflare,379,463,6240,0,0,0,0,0,0,12003,64352,8078,8079,1,2,0,False,False,False,False,True,False,False,False
63,Purpurlotos,378,464,6249,0,0,0,0,0,0,6009,64353,8080,8081,1,1,0,False,False,False,False,True,False,False,False
64,Lockende Umarmung,384,465,6242,6241,0,0,0,0,0,10021,64354,8082,8083,1,2,33,False,False,False,False,True,False,False,False
