key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
#,Name,Description,LeveClient,,LeveAssignmentType,Town,ClassJobLevel,TimeLimit,AllowanceCost,PlaceName{Start},PlaceName{Issued},FishingSpot,,ClassJobCategory,JournalGenre,PlaceName{StartZone},Icon{CityState},DataId,CanCancel,MaxDifficulty,ExpFactor,ExpReward,GilReward,LeveRewardItem,LeveVfx,LeveVfx{Frame},Level{Levemete},Icon{Issuer},LockedLeve,Level{Start},BGM
int32,str,str,LeveClient,byte,LeveAssignmentType,Town,uint16,byte,byte,PlaceName,PlaceName,FishingSpot,byte,ClassJobCategory,JournalGenre,PlaceName,Image,Row,bit&01,byte,single,uint32,uint32,LeveRewardItem,LeveVfx,LeveVfx,Level,Image,bit&02,Level,BGM
0,"","","",0,"","Nowheresville",0,0,1,"","","Undiscovered Fishing Hole",0,"","","","ui/icon/020000/020011.tex",,True,0,1,0,0,"LeveRewardItem#0","","",,,True,,"music/ffxiv/BGM_Leves.scd"
1,"","","",0,"","Nowheresville",0,0,0,"","","Undiscovered Fishing Hole",0,"","","",,,False,0,0,0,0,"LeveRewardItem#0","","",,,False,,""
2,"","","",0,"","Nowheresville",0,0,0,"","","Undiscovered Fishing Hole",0,"","","",,,False,0,0,0,0,"LeveRewardItem#0","","",,,False,,""
3,"","","",0,"","Nowheresville",0,0,0,"","","Undiscovered Fishing Hole",0,"","","",,,False,0,0,0,0,"LeveRewardItem#0","","",,,False,,""
4,"","","",0,"","Nowheresville",0,0,0,"","","Undiscovered Fishing Hole",0,"","","",,,False,0,0,0,0,"LeveRewardItem#0","","",,,False,,""
5,"","","",0,"","Nowheresville",0,0,0,"","","Undiscovered Fishing Hole",0,"","","",,,False,0,0,0,0,"LeveRewardItem#0","","",,,False,,""
6,"","","",0,"","Nowheresville",0,0,0,"","","Undiscovered Fishing Hole",0,"","","",,,False,0,0,0,0,"LeveRewardItem#0","","",,,False,,""
7,"","","",0,"","Nowheresville",0,0,0,"","","Undiscovered Fishing Hole",0,"","","",,,False,0,0,0,0,"LeveRewardItem#0","","",,,False,,""
8,"","","",0,"","Nowheresville",0,0,0,"","","Undiscovered Fishing Hole",0,"","","",,,False,0,0,0,0,"LeveRewardItem#0","","",,,False,,""
9,"","","",0,"","Nowheresville",0,0,0,"","","Undiscovered Fishing Hole",0,"","","",,,False,0,0,0,0,"LeveRewardItem#0","","",,,False,,""
10,"","","",0,"","Nowheresville",0,0,0,"","","Undiscovered Fishing Hole",0,"","","",,,False,0,0,0,0,"LeveRewardItem#0","","",,,False,,""
11,"","","",0,"","Nowheresville",0,0,0,"","","Undiscovered Fishing Hole",0,"","","",,,False,0,0,0,0,"LeveRewardItem#0","","",,,False,,""
12,"","","",0,"","Nowheresville",0,0,0,"","","Undiscovered Fishing Hole",0,"","","",,,False,0,0,0,0,"LeveRewardItem#0","","",,,False,,""
13,"","","",0,"","Nowheresville",0,0,0,"","","Undiscovered Fishing Hole",0,"","","",,,False,0,0,0,0,"LeveRewardItem#0","","",,,False,,""
14,"","","",0,"","Nowheresville",0,0,0,"","","Undiscovered Fishing Hole",0,"","","",,,False,0,0,0,0,"LeveRewardItem#0","","",,,False,,""
15,"","","",0,"","Nowheresville",0,0,0,"","","Undiscovered Fishing Hole",0,"","","",,,False,0,0,0,0,"LeveRewardItem#0","","",,,False,,""
16,"","","",0,"","Nowheresville",0,0,0,"","","Undiscovered Fishing Hole",0,"","","",,,False,0,0,0,0,"LeveRewardItem#0","","",,,False,,""
17,"","","",0,"","Nowheresville",0,0,0,"","","Undiscovered Fishing Hole",0,"","","",,,False,0,0,0,0,"LeveRewardItem#0","","",,,False,,""
18,"","","",0,"","Nowheresville",0,0,0,"","","Undiscovered Fishing Hole",0,"","","",,,False,0,0,0,0,"LeveRewardItem#0","","",,,False,,""
19,"","","",0,"","Nowheresville",0,0,0,"","","Undiscovered Fishing Hole",0,"","","",,,False,0,0,0,0,"LeveRewardItem#0","","",,,False,,""
20,"","","",0,"","Nowheresville",0,0,0,"","","Undiscovered Fishing Hole",0,"","","",,,False,0,0,0,0,"LeveRewardItem#0","","",,,False,,""
21,"Fabrication<Indent/>: lances pour l'Ordre","L'ordre des Deux Vipères nous demande ré<SoftHyphen/>gu<SoftHyphen/>liè<SoftHyphen/>re<SoftHyphen/>ment des lances pour l'en<SoftHyphen/>traî<SoftHyphen/>ne<SoftHyphen/>ment de ses nouvelles recrues. Il s'agit d'un client important pour le Lièvre noir, et la livraison ne doit surtout pas prendre de retard. Nous cherchons un artisan fiable pour nous aider à satisfaire la commande en temps et en heure.","Client: Black Rabbit Traders Consignor, Maisenta Hawke",6,"Carpenter","Gridania",1,0,1,"Gridania","Gridania","Undiscovered Fishing Hole",0,"CRP","Carpenter Levequests","Gridania","ui/icon/080000/080012.tex","In with the New",True,0,1,1330,113,"LeveRewardItem#2","ui/icon/080000/080033.tex","ui/icon/080000/080005.tex","Level#2257767","ui/icon/110000/110007.tex",True,,"music/ffxiv/BGM_Leves.scd"
22,"Fabrication<Indent/>: patins pour recrues","Bien décidé à réduire le nombre de blessés et de tués au combat, l'ordre des Deux Vipères a fait affecter un soldat versé dans l'art de la magie élémentaire à chacun de ses bataillons. Ce poste impliquant de nombreux déplacements, nous recherchons activement des menuisiers fiables disposés à mettre leurs talents à notre service pour fabriquer des chaussures en bois durables pour ces personnes.","Client: Black Rabbit Traders Consignor, Maisenta Hawke",6,"Carpenter","Gridania",1,0,1,"Gridania","Gridania","Undiscovered Fishing Hole",0,"CRP","Carpenter Levequests","Gridania","ui/icon/080000/080012.tex","Touch and Heal",True,0,1,1690,113,"LeveRewardItem#2","ui/icon/080000/080033.tex","ui/icon/080000/080005.tex","Level#2257767","ui/icon/110000/110007.tex",True,,"music/ffxiv/BGM_Leves.scd"
23,"Livraison<Indent/>: sabots pour les ingénieurs","Le génie militaire est une composante importante pour une troupe militaire, ayant à gérer les conditions et l'environnement de combat. Les nouvelles recrues devant intégrer l'équipe définitive de génie militaire ont été sé<SoftHyphen/>lec<SoftHyphen/>tion<SoftHyphen/>nées parmi celles qui ont terminé la formation de base. Nous voudrions leur offrir des sabots en souvenir de ce jour pour leur rappeler de toujours soutenir leurs camarades au combat. Nous cherchons des menuisiers pour prendre en charge la fabrication de ce cadeau qui devra fêter dignement leur intégration.","Client: First Spear Wood Wailer, Lanverlais the Lawful",6,"Carpenter","Gridania",1,0,1,"The Bannock","The Bannock","Undiscovered Fishing Hole",0,"CRP","Carpenter Levequests","Central Shroud","ui/icon/080000/080012.tex","A Clogful of Camaraderie",True,0,1,630,112,"LeveRewardItem#2","ui/icon/080000/080034.tex","ui/icon/080000/080005.tex","Level#2648092","ui/icon/110000/110010.tex",True,,"music/ffxiv/BGM_Leves.scd"
24,"Fabrication<Indent/>: arcs courts pour les éclaireurs","L'infanterie légère a besoin d'utiliser des armes maniables et rapides. Les nouvelles recrues devant intégrer définitivement les troupes d'infanterie légère ont été sé<SoftHyphen/>lec<SoftHyphen/>tion<SoftHyphen/>nées parmi celles qui ont terminé la formation de base. Pour les stimuler et dans l'espoir qu'ils ne ratent jamais leur cible, ils doivent recevoir des arcs courts en souvenir de ce jour. Nous cherchons des menuisiers pour prendre en charge la fabrication de ce cadeau afin de fêter dignement leur intégration.","Client: First Spear Wood Wailer, Lanverlais the Lawful",6,"Carpenter","Gridania",1,0,1,"The Bannock","The Bannock","Undiscovered Fishing Hole",0,"CRP","Carpenter Levequests","Central Shroud","ui/icon/080000/080012.tex","Bowing Out",True,0,1,1160,112,"LeveRewardItem#3","ui/icon/080000/080033.tex","ui/icon/080000/080005.tex","Level#2648092","ui/icon/110000/110010.tex",True,,"music/ffxiv/BGM_Leves.scd"
25,"Fabrication<Indent/>: boucliers de bois pour les gardes","Les unités devant intégrer les troupes d'infanterie lourde ont été sé<SoftHyphen/>lec<SoftHyphen/>tion<SoftHyphen/>nées parmi les dernières recrues ayant terminé leur formation de base. Pour rendre hommage aux vaillants soldats qui garderont fièrement les portes de notre belle Cité, nous avons décidé de les équiper d'un solide bouclier de bois. Nous cherchons donc quelqu'un pour les fabriquer.","Client: First Spear Wood Wailer, Lanverlais the Lawful",6,"Carpenter","Gridania",1,0,1,"The Bannock","The Bannock","Undiscovered Fishing Hole",0,"CRP","Carpenter Levequests","Central Shroud","ui/icon/080000/080012.tex","Got Your Back",True,0,1,1690,113,"LeveRewardItem#3","ui/icon/080000/080033.tex","ui/icon/080000/080005.tex","Level#2648092","ui/icon/110000/110010.tex",True,,"music/ffxiv/BGM_Leves.scd"
