key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,ModelChara,,FlyingCondition,,,,IsFlying,,MountCustomize,RideBGM,,,,ExitMoveDist,ExitMoveSpeed,,IsEmote,EquipHead,EquipBody,EquipLeg,EquipFoot,Order,Icon,UIPriority,RadiusRate,BaseMotionSpeed_Run,BaseMotionSpeed_Walk,,,ExtraSeats,MountAction,IsAirborne,ExHotbarEnableConfig,UseEP,,IsImmobile,,,,,,,,,,
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,ModelChara,uint16,MountFlyingCondition,byte,byte,byte,byte,byte,MountCustomize,BGM,str,str,str,byte,byte,bit&01,bit&02,int32,int32,int32,int32,int16,Image,uint16,byte,bit&04,byte,byte,byte,byte,MountAction,bit&08,bit&10,bit&20,bit&40,bit&80,byte,byte,bit&01,bit&02,uint16,uint16,uint16,bit&04,uint16,bit&08
0,"",0,"",0,0,1,0,0,"ModelChara#0",0,"",45,15,15,0,0,"MountCustomize#0","","","","",10,10,False,True,0,0,0,0,-1,,0,100,False,0,0,100,0,"MountAction#0",False,False,False,False,False,0,0,False,False,0,0,0,False,0,False
1,"Gesellschafts-Chocobo",4,"Gesellschafts-Chocobos",1,0,1,0,0,"ModelChara#1",2,"The Ultimate Weapon",45,15,15,1,0,"MountCustomize#1","music/ffxiv/BGM_Ride_Chocobo.scd","SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,False,True,65536,65536,65537,0,0,"ui/icon/004000/004001.tex",100,100,False,0,0,55,0,"MountAction#0",False,False,False,False,False,0,0,False,False,10,21,41,False,40,False
2,"",0,"",0,0,1,0,0,"ModelChara#1",3,"",45,15,15,0,0,"MountCustomize#1","music/ffxiv/BGM_Ride_RChocobo.scd","","","SE_Bt_Etc_ChocoboBye",20,20,False,True,65537,65537,65537,65537,-1,,0,100,False,0,0,55,0,"MountAction#0",False,False,False,False,False,0,0,False,False,10,21,41,False,40,False
3,"",0,"",0,0,1,0,0,"ModelChara#1",3,"",45,15,15,0,0,"MountCustomize#1","music/ffxiv/BGM_Ride_RChocobo.scd","","","SE_Bt_Etc_ChocoboBye",2,9,False,True,65552,65552,65537,0,-1,,0,100,False,0,0,55,0,"MountAction#0",False,False,False,False,False,0,0,False,False,10,21,41,False,40,False
4,"Goobbue",3,"Goobbuen",1,0,1,1,0,"ModelChara#200",4,"",45,15,15,1,2,"MountCustomize#0","music/ffxiv/BGM_Ride_CommonMonster.scd","SE_Bt_Etc_GuuBooWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_GuuBooBye",15,9,False,True,0,0,0,0,1,"ui/icon/004000/004003.tex",1000,100,False,0,0,60,0,"MountAction#1",False,True,False,False,False,0,0,False,False,8,19,39,False,40,False
5,"Legacy-Chocobo",4,"Legacy-Chocobos",1,0,1,0,0,"ModelChara#1",2,"",45,15,15,1,0,"MountCustomize#1","music/ffxiv/BGM_Ride_Chocobo.scd","SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,False,True,65545,65545,65545,65545,2,"ui/icon/004000/004002.tex",101,100,False,0,0,55,0,"MountAction#0",False,False,False,False,False,0,0,False,False,10,21,41,False,40,False
6,"Magitek-Kampfmaschine",3,"Magitek-Kampfmaschinen",1,0,1,1,0,"ModelChara#2",2,"",45,0,15,1,2,"MountCustomize#0","music/ffxiv/BGM_Ride_MagitekArmor.scd","SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_MadoWhistle_only","SE_Bt_Etc_MadoBye",0,10,False,True,0,131073,0,0,3,"ui/icon/004000/004006.tex",10000,77,False,0,0,70,0,"MountAction#2",False,True,False,False,False,0,0,False,False,30,23,41,False,40,False
7,"",0,"",0,0,1,0,0,"ModelChara#311",5,"",45,15,15,0,0,"MountCustomize#2","music/ffxiv/BGM_Ride_CommonMonster.scd","","","",0,0,False,True,0,0,0,0,-1,,0,100,False,0,0,100,0,"MountAction#0",False,False,False,False,False,0,0,False,False,9,19,39,False,40,False
8,"Coeurl",4,"Coeurl",1,0,1,0,0,"ModelChara#2047",2,"",45,70,70,1,2,"MountCustomize#3","music/ffxiv/BGM_Ride_CommonMonster.scd","SE_Bt_Etc_CuahrWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_CuahrBye",20,10,False,True,0,0,0,0,4,"ui/icon/004000/004005.tex",3200,60,False,0,0,60,0,"MountAction#0",False,False,False,False,False,0,0,False,False,10,21,41,False,42,False
